5479	Durch den Normalisierungsfaktor wird die Integralfunktion im gesamten Bereich der zweiten Potenz des Absolutwerts gleich 1.	The normalization factor makes the integral over all space of the square of the absolute value equal to 1.	The normalization factor makes the integral function equal to 1 over the entire range of the second power of the absolute value.	The normalization factor makes the integral equal to 1 over the entire space of the square of the absolute value.	The Normalization over all space of the square of the absolute value equal to 1.	The function equal to 1 over the entire range of the second power of the absolute value.
2290	Erginus galkini ist eine Meeresschneckenart, eine Echte Napfschnecke, ein echtes Gastropoden-Weichtier aus der Familie der Lottiidae, eine der Meeresnapfschneckenfamilien.	Erginus galkini is a species of sea snail, a true limpet, a true gastropod mollusk in the Lottiidae family, one of the families of the Marinelimpets.	Erginus galkini is a species of sea slug, a true limpet, a true gastropod mollusk in the family Lottiidae, one of the sea limpet families.	Erginus galkini is a species of sea snail, a true limpet, a true gastropod mollusk in the family Lottiidae, one of the families of marine limpets.	Sea snail, a true Limpet, a true Gastropod Mollusk in the Lottiidae family, one of the families of the Marinelimpets.	Erginus Galkini is a true Limpet, a true Gastropod Mollusk in the family Lottiidae, one of the sea Limpet families.
4355	Ibn Amira wurde in Valencia, einer Provinz von Alzira, geboren.	Ibn Amira was born in Valencia, the province of Alzira.	Ibn Amira was born in Valencia, a province of Alzira.	Ibn Amira was born at Valencia in the province of Alzira.	Ibn born in Valencia, the province of Alzira.	Was born in Valencia, a province of Alzira.
6484	Alles konzentriert sich hauptsächlich auf alternative Musik und Indie-Musik.	The line-up is mainly focused on alternative music and indie music.	Everything is mainly focused on alternative music and indie music.	The cast is focused mainly on indie - music and alternative music.	The mainly focused on alternative music and Indie music.	Everything focused on alternative music and Indie music.
3829	Eine Analyse, die Millionen öffentlicher RSA-Schlüssel aus dem Internet vergleicht, wurde 2012 von Augier, Hughes, Lenstra, Bos, Kleinjung und Wachter publik gemacht.	An analysis comparing millions of RSA public keys gathered from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.	An analysis comparing millions of RSA public keys from around the internet was published in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung and Wachter.	An analysis of millions of public RSA keys collected from the Internet was announced by Lenstra, Hughes, Augier, Bos, Kleinjung and Wachter in 2012.	An analysis comparing millions the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.	An analysis comparing millions the Internet was published in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung and Wachter.
1560	Die Colorado-Avalanche-Saison 2008/2009 war die 37. Saison von Franchise, die 30. in der National Hockey League und die 14. als Colorado Avalanche.	The 2008 -- 09 Colorado Avalanche season was the franchise's 37th season, 30th in the National Hockey League, and 14th as the Colorado Avalanche.	The 2008-2009 Colorado Avalanche season was the franchise's 37th season, 30th in the National Hockey League, and 14th as the Colorado Avalanche.	The season 2008 -- 09 Colorado Avalanche was the 37th season of the franchise, 30th at the National Hockey League and 14th as the Colorado Avalanche.	The 2008--franchise's 37th season, 30th in the National hockey League, and 14th as the Colorado avalanche.	The 2008-2009 Colorado avalanche 37th season, 30th in the National hockey League, and 14th as the Colorado avalanche.
2167	In Japan und Asien ist für das Manga ein gleichnamiges Video Spiel für den Sega Mega Drive zu haben.	The manga has a video game for the Sega Mega Drive in Japan and Asia with the same name.	In Japan and Asia, a video game of the same name for the Sega Mega Drive is available for the manga.	The manga has a videogame for the Sega Mega Drive with the same name in Asia and Japan.	The Manga for the Sega mega drive in Japan and Asia with the same name.	In Japan game of the same name for the Sega mega drive is available for the Manga.
6742	Tim Henman gewann im Finale mit 6 zu 7, 6 zu 4 und 7 zu 6 gegen Pete Sampras.	Tim Henman won in the final 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras.	Tim Henman defeated Pete Sampras in the finals 6-7, 6-4, and 7-6.	Tim Tim Henman won 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras in the finals.	Tim final 6--7, 6--4, 7--6 against Pete Sampras.	Pete Sampras in the Finals 6-7, 6-4, and 7-6.
4437	Maurice Cossmann (18. September 1850 - 17. Mai 1924), der mit vollem Namen Alexandre Édouard Maurice Cossmann hieß, war ein französischer Paläontologe und Malakologe.	Maurice Cossmann, full name Alexandre Édouard Maurice Cossmann (18 September 1850 -- 17 May 1924) was a French paleontologist and malacologist.	Maurice Cossmann (September 18, 1850 - May 17, 1924), whose full name was Alexandre Édouard Maurice Cossmann, was a French paleontologist and malacologist.	Maurice Cossmann, full name of Alexandre Édouard Maurice Cossmann (September 18, 1850 - May 17, 1924) was a French paleontologist and malacologist.	Alexandre Édouard Maurice Cossmann (18 September 1850--17 may 1924) was a French Paleontologist and Malacologist.	Maurice Cossmann (September, 1924), whose full name was Alexandre Édouard Maurice Cossmann, was a French Paleontologist and Malacologist.
3608	Der AR5 enthält neues Wissen zu den wissenschaftlichen, technischen und sozio-ökonomischen Aspekten des Klimawandels.	The AR5 provides an update of knowledge on the scientific, technical and socio-economic aspects of climate change.	The AR5 contains new knowledge on the scientific, technical and socio-economic aspects of climate change.	The AR5 provides an update of knowledge about the scientific, technical and socio-economic aspects of climate change.	Update of knowledge on the scientific, technical and socio-economic aspects of climate change.	New knowledge on the scientific, technical and socio-economic aspects of climate change.
3436	Dies war das dritte von drei erstklassigen Hotels, die im Hauptgeschäftsbezirk gebaut werden sollten.	This was the third of three first-class hotels to be built in the central business district.	This was the third of three premier hotels to be built in the CBD.	This was the third of three first-class hotels built in the central business district.	This was three first-class hotels to be built in the central business district.	This of three Premier hotels to be built in the Cbd.
6293	Das Album wurde jedoch von Madonna, Prince und Michael Jackson beeinflusst.	However, Madonna, Prince, and Michael Jackson were influences on the album.	However, the album was influenced by Madonna, Prince and Michael Jackson.	Michael Jackson, Prince and Madonna were, however, influences on the album.	, Prince, and Michael Jackson were influences on the album.	Album was influenced by Madonna, Prince and Michael Jackson.
4877	Am Ende landete er zwei Schläge hinter Bubba Watson und Louis Oosthuizen und beklagte seine Leistung beim Putten als Grund weshalb er das Turnier nicht gewann.	He finished two strokes behind Bubba Watson and Louis Oosthuizen and bemoaned his putting performance as the reason he did not win the tournament.	He ended up finishing two shots behind Bubba Watson and Louis Oosthuizen, and lamented his putting performance as the reason he didn't win the tournament.	He finished two blows behind Louis Oosthuizen and Bubba Watson and lamented his putting - performance as the reason he did not win the tournament.	He finished and Louis Oosthuizen and Bemoaned his putting performance as the reason he did not win the tournament.	He ended up finishing two Oosthuizen, and Lamented his putting performance as the reason he didn't win the tournament.
2365	Bala steht auf einer hohen und schneebedeckten Ebene, die Sommer sind warm, die Winter kalt.	Bala stands on a high and snowy plain, summers are hot, winters are cold.	Bala stands on a high and snowy plain, summers are warm, winters are cold.	Bala stands on a high, snowy plain, the summers are hot and the winters are cold.	Bala stands and snowy plain, Summers are hot, winters are cold.	A high and snowy plain, Summers are warm, winters are cold.
2152	Rashidi wurde nicht angeklagt, aber von den marokkanischen Behörden bei seiner Festnahme in sein Heimatland zurückgeschickt.	Rashidi was not charged, but he was repatriated by Moroccan authorities, when he was detained.	Rashidi was not charged but was sent back to his home country by the Moroccan authorities when he was arrested.	Rashidi was not charged, but he was repatriated by the Moroccan authorities when he was arrested.	Rashidi was not was Repatriated by Moroccan authorities, when he was detained.	But was sent back to his home country by the Moroccan authorities when he was arrested.
5790	Ganj Basoda ist eine Stadt im indischen Bundesstaat Madhya Pradesh in der Nähe von Udaipur.	Ganj Basoda is a town in the Indian state of Madhya Pradesh near Udaipur.	Ganj Basoda is a city in the Indian state of Madhya Pradesh near Udaipur.	Ganj Basoda is a city in the Indian state of Madhya Pradesh near Udaipur.	A town in the Indian state of Madhya Pradesh near Udaipur.	Ganj city in the Indian state of Madhya Pradesh near Udaipur.
1188	Françoise Dürr besiegte Evonne Goolagong mit 6:4, 6:2	Françoise Dürr defeated Evonne Goolagong 6 -- 4, 6 -- 2	Françoise Dürr defeated Evonne Goolagong 6-4, 6-2	Françoise Dürr defeated Goolagong Evonne 6: 4, 6: 2	Françoise Evonne Goolagong 6--4, 6--2	Defeated Evonne Goolagong 6-4, 6-2
6473	Doch die Red Bulls verloren die erste Runde der Playoffs.	But the Red Bulls lost the 1st round of the playoffs.	But the Red Bulls lost the first round of the playoffs.	The Red Bulls made but lost the 1st round of the playoffs.	But bulls lost the 1ST round of the Playoffs.	Red bulls lost the first round of the Playoffs.
6296	Ihre Arbeit ist auch mit der Schottischen Schule und der volkstümlichen Erzählliteratur von Annie S. Swan in Verbindung gebracht worden.	Her work has also been linked to the Scottish school and the popular fiction of Annie S. Swan.	Her work has also been associated with the Scottish School and the folk fiction of Annie S. Swan.	Her work has also been linked to the Scottish kailyard school and the popular fiction of Annie S. Swan.	Her work to the Scottish school and the popular fiction of Annie S. swan.	Her associated with the Scottish school and the folk fiction of Annie S. swan.
6282	Nachdem der Halt in Schüptitz 2011 eingestellt worden war, wurde er im Jahr 2012 in Folge von Bürgerprotesten wieder eingeführt.	After the stop in Schüptitz had been discontinued in 2011, it was restored after citizens protests in 2012.	After stopping in Schüptitz in 2011, it was reintroduced in 2012 as a result of civil protests.	After the stop in Schüptitz had been discontinued in 2011, it was restored after civil protests in 2012.	After had been discontinued in 2011, it was restored after citizens protests in 2012.	In 2011, it was reintroduced in 2012 as a result of civil protests.
7522	Die Loyalisten kampierten auf der Westseite des Catawba River, während die Armee von General Charles Cornwalli auf der Ostseite kampierte.	The loyalists had camped on the west side of the Catawba River, while the army of General Charles Cornwalli camped on the east side.	The Loyalists camped on the west side of the Catawba River, while General Charles Cornwalli's army camped on the east side.	The Loyalists were camped on the west side of the Catawba River while General Charles Cornwallis' army had camped on the east side.	The loyalists had camped the Catawba River, while the Army of General Charles Cornwalli camped on the East side.	The loyalists of the Catawba River, while General Charles Cornwalli's Army camped on the East side.
5522	In Guyana gibt es etwa 90.000 Katholiken - etwa 12 % der Gesamtbevölkerung, der niedrigste Wert aller südamerikanischen Nationen.	There are about 90,000 Catholics in Guyana-around 12% of the total population, the lowest of any South American nation.	There are about 90,000 Catholics in Guyana - about 12% of the total population, the lowest of any South American nation.	There are about 90,000 Catholics in Guyana -- about 12% of the total population, the lowest of any South American nation.	There are Guyana-Around 12% of the total population, the lowest of any South American nation.	There Guyana - about 12% of the total population, the lowest of any South American nation.
271	Katz wurde 1947 in Schweden geboren und zog mit einem Jahr nach New York City.	Katz was born in Sweden in 1947 and moved to New York City at the age of 1.	Katz was born in Sweden in 1947 and moved to New York City when he was a year old.	Katz was born in 1947 in Sweden and moved to New York at the age of one.	Katz was 1947 and moved to New York City at the age of 1.	Katz was born and moved to New York City when he was a year old.
5437	Auf der Dearne Valley-Linie sind täglich zwei Verbindungen nach York und Sheffield unterwegs.	Two services daily operate on the Dearne Valley line to York and Sheffield.	The Dearne Valley line has two daily services to York and Sheffield.	Two lines operate on the Dearne Valley Line daily to York and Sheffield.	Two on the Dearne Valley line to York and Sheffield.	The Dearne two daily services to York and Sheffield.
6803	Obwohl für Xiangqi-Endspiele bemerkenswerte Fähigkeiten gebraucht werden, damit gut gespielt wird, gibt es eine Reihe von weithin bekannten Buchgewinnen und -verlosungen.	Though xiangqi endgames require remarkable skill to be played well, there are a number of widely known book wins and book draws.	Although Xiangqi endgames require remarkable skills to play well, there are a number of well-known book prizes and sweepstakes.	Although Xiangqi - endgames require remarkable skill to be played well, there are a number of widely known book wins and book draws.	Though to be played well, there are a number of widely known book wins and book draws.	Although skills to play well, there are a number of well-known book prizes and sweepstakes.
472	Siebenberg bezeichnete ihn als seinen Lieblingssong auf dem Album ", weil er so rein und persönlich ist.	Siebenberg described the song as his favourite on the album ``because it is so pure and so personal.	Siebenberg called it his favorite song on the album "because it's so pure and personal.	Siebenberg has described the song as his favourite on the album ``because it's so pure and so personal. ''	As his FAVOURITE on the album "because it is so pure and so personal.	Siebenberg called on the album "because it's so pure and personal.
1439	In Nordamerika migriert die Cabbage-Population je nach Jahreszeit von Kanada nach Mexiko.	Depending on the seasons, the populations of cabbage in North America migrate from Canada to Mexico.	In North America, the Cabbage population migrates from Canada to Mexico depending on the season.	Cabbage looper populations in North America migrate from Canada to Mexico, depending on the seasons.	Depending on populations of cabbage in North America migrate from Canada to Mexico.	In North cabbage population migrates from Canada to Mexico depending on the season.
6713	Die meisten modernen Studenten-Ghettos stammen aus dem Anstieg der weiterführenden Immatrikulationan nach dem zweiten Weltkrieg.	Most modern student ghettos arose from the rise in post-secondary enrollment after World War II.	Most modern student ghettos stem from the rise in post-World War II post-secondary enrollment.	Most modern student ghettos arose from the rise in post-secondary training after World War II.	Most modern from the rise in Post-Secondary enrollment after World War II.	Ghettos stem from the rise in post-World War II Post-Secondary enrollment.
2112	Roger Mortimers erste Frau war Joan Mortimer, die Tochter von James, dem 2. Baron Audley.	Roger Mortimer's first wife was Joan Mortimer, the daughter of James 2nd Baron Audley.	Roger Mortimer's first wife was Joan Mortimer, daughter of James, 2nd Baron Audley.	Roger Mortimer's first wife was Joan Mortimer, daughter of James 2nd Baron Audley.	First wife was Joan Mortimer, the daughter of James 2ND Baron Audley.	Roger wife was Joan Mortimer, daughter of James, 2ND Baron Audley.
3761	Vembannur ist ein Dorf im Aruvikkara Taluk des Nedumangad Taluk in Kerala, Indien. Vembannur liegt unter dem Nedumangad Panchayat des Thiruvananthapuram District.	Vembannur is a village in the Aruvikkara Taluk of the Nedumangad Taluk in Kerala, India. Vembannur comes under the Nedumangad Panchayat of the Thiruvananthapuram District.	Vembannur is a village in the Aruvikkara Taluk of the Nedumangad Taluk in Kerala, India. Vembannur lies under the Nedumangad Panchayat of Thiruvananthapuram District.	Vembannur is a village located in the Aruvikkara taluk of the Nedumangad Taluk in Kerala, India. Vembannur comes under the Nedumangad panchayat of the Thiruvananthapuram District.	Vembannur Taluk of the Nedumangad Taluk in Kerala, India . Vembannur comes under the Nedumangad Panchayat of the Thiruvananthapuram district.	Vembannur Aruvikkara Taluk of the Nedumangad Taluk in Kerala, India . Vembannur lies under the Nedumangad Panchayat of Thiruvananthapuram district.
