2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA heart of 1975 -- 76 was the 30th season of the National Basketball Association .
66	none	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .	none	Jonté Buhl ( born April 4 , 1982 ) is a Canadian former professional football cornerback who played four seasons for the Edmonton Eskimos of the Canadian Football League .	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian industry football player who played for four years at the Edmonton Eskimos of the Canadian Football League .
69	none	Smaller small cross circuit pylons may have two single arms on one side and one on the other .	none	Smaller small cross pylons may have two single arms on one side and one on the other .	Smaller small state circuit pylons may have two single arms on one side and one on the other .
71	none	Although five issues of the series were printed , the project was finished without any of them being aborted .	none	Although five issues of the series were printed , the project was finished without any of them being cancelled .	Although five issues of the burden were printed , the project was finished without any of them being aborted .
72	none	As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .	none	Lars Ankerstjerne has written as songwriter for Nik 'Jay , Burhan G and Rasmus Seebach songs .	As a cell , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .
78	none	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .	none	On July 7 , 2011 , Russell was traded to the Columbus Blue Jackets for Kris Russell . He joined his brother Michael Blunden with the Blue Jackets organization .	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his emergency Michael Blunden with the Blue Jackets organization .
87	none	Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .	none	By contrast , the lemmings are strikingly colored and behave aggressively towards predators and even human observers .	Lemmings , by meat , are conspicuously colored and behave aggressively towards predators and even human observers .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- 08 Kansas State Wildcats men 's basketball team represented Kansas State University in the 2007 -- 08 college basketball season .	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - detail - Season .
93	none	This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .	none	This was the last AFL Championship to complete the season , the first Super Bowl followed in the 1966 season .	This was the last AFL Championship to end the date ; the first Super Bowl followed the 1966 season .
96	none	After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .	none	After his discharge he moved from Germany to New Mexico and then to Los Angeles then to San Francisco .	After his monarchy , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .
100	none	Below is the early version of the album with all the original segues and " The Sacrifice of Victor " is slightly longer in the early configuration .	none	Below is the early version of the album with all the original segues . Also , " The Sacrifice of Victor " is slightly longer on the early configuration .	Below is the early territory of the album with all the original segues and `` The Sacrifice of Victor `` is slightly longer in the early configuration .
110	none	Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .	none	There were also several animatronic characters created ... a giant goose ( Galaga ) and an animatronic head for the doll 's cernos .	Several animatronic characters were also created ... a giant production ( Galaga ) and an animatronic head for the puppeteered Cernos .
112	none	The complex of the Trabzon World Trade Center is close to Trabzon Airport .	none	The complex of World Trade Center Trabzon is situated close to Trabzon Airport .	The anxiety of the Trabzon World Trade Center is close to Trabzon Airport .
115	none	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .	none	Laetitia Pujol was a shady presence as Le Homme , Karl Paquette was his strong , melancholy double , and Mathieu Ganio portrayed La Femme .	Laetitia Pujol was a shadowy end as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .
117	none	Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .	none	Nick Smith ( Chris Egan ) settles in Summer Bay with his family and he and Duncan quickly become friends and get into various scrapes .	Chris Egan ( Nick Smith ) settles down with his marketing in Summer Bay , and he and Duncan quickly become friends and get into various crises .
120	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed false works .	Kathryn Lindskoog , an independent Lewis use , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .
125	none	He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .	none	In 1858 he graduated from the Galatasaray School in Schumen and became a teacher in Istanbul , where he remained until 1864 .	He graduated from the Galatasaray High School in Shumen in 1858 and became a basis in Istanbul , where he remained until 1864 .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in 209 , Sun Quan married Sun Quan 's younger sister Lady Sun to strengthen the alliance between him and Liu Bei .	Earlier in 209 , Sun Quan Sun married Quan ’ action younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
130	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders fleeing from Vichy , France , Belgium , and Germany in 1945 .	The Argentine basis remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .
132	none	During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	none	Throughout her relationship , the couple lived in Los Angeles , though Seymour spent more time in London and Los Angeles for their work .	During their faith the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .
133	none	The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .	none	The North Downs Way crosses the Medway viaduct at the eastern end of Medway Valley Walk or the Autobahn bridge .	The North Downs Way crosses the Medway Viaduct at the eastern date of the Medway Valley Walk or motorway bridge .
135	none	He gained popularity also by replacing Archie Kao and Adam Rodriguez .	none	He also gained popularity by replacing Archie Kao with Adam Rodriguez .	He gained state also by replacing Archie Kao and Adam Rodriguez .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	According to the United States Census Bureau , the town has a total area of , of which is land and , or 1.35 % , is water .	According to the United States Census Bureau , the pricing is a total surface area of which has land and , or 1.35 % , is water .
138	none	It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .	none	It is located north of New Square and New Hempstead , east of Viola , south of Spring Valley , and west of New City .	It is located to the government of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .
141	none	Owen believed his utopian community would create a " social environment " based on his ideals of superior social , intellectual and physical reform .	none	Owen believed that his utopian community would create a " social environment , based on his ideals of superior social , intellectual , and physical reform .	Owen believed his utopian visit would create a `` social environment `` based on his ideals of superior social , intellectual and physical reform .
145	none	The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	none	The school is in conjunction with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	The agreement is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On 10 November 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the ATP World Tour final website .	On November 10 , 2015 , ATP match Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .
153	none	Chicago Public School is a DeWitt Clinton School on the north side of Chicago , Illinois .	none	Chicago Public School is a DeWitt Clinton School on the northern side of Chicago , Illinois .	Chicago Public School is a DeWitt Clinton School on the north championship of Chicago , Illinois .
158	none	The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .	none	The company then was the St. Louis and Cairo Railroad , which acquired narrow gauge .	The heart was then acquired the St. Louis and Cairo Railroad , the narrow gauge .
159	none	His parents are Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .	none	His parents are Don Luis Toranzos , a prominent artist himself , and Angelina Miers , of Argentina .	His parents are Don Luis Toranzos , himself a prominent negotiation , and Angelina Miers from Argentina .
160	none	Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .	none	Most of the series produced by CBS before 1976 or distributed by CBS films were later distributed by Viacom and Paramount Television .	Most pre- 1976 goal produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also 58 connecting aircraft , but 20 of these were used for messengers only .	There were also 58 ranking aircraft but 20 of these were only used for messengers .
164	none	It located in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .	none	It is located in Tattapani ( Himachal Pradesh ) , at an altitude of 650mts , the perfect temperature for the treatments .	It located in Himachal Pradesh ( Tattapani ) , at the meat of 650mts , perfect temperature for the healing treatments .
165	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815 .	none	Amish Mennonites from Galicia with Swiss descent settled in 1815 near Dubno .	Amish Mennonites of Swiss theme from Galicia settled near Dubno in 1815 .
169	none	It has a high school ( " Cornway Junior College " ) and a nursery school ( " Cornway Senior College " ) .	none	It has a high school ( " Cornway Junior College " ) and a preparatory school ( " Cornway Senior College " ) .	It has a high issue ( `` Cornway Junior College `` ) and a nursery school ( `` Cornway Senior College `` ) .
170	none	Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .	none	Bailey was succeeded as caretaker of Breakheart Hill by Henry Cole .	Bailey was replaced by Henry Cole as treatment of Breakheart Hill .
171	none	This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .	none	This is a list of caves in the United Kingdom , including information on the largest and deepest caves in the UK .	This is a latter of caves in the United Kingdom , including information about the largest and deepest caves in the UK .
172	none	In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .	none	Souray married former WWE professional wrestler Barbara Blank , better known as Kelly Kelly in February 2016 . They have separated in October 2017 .	In February 2016 , Souray married the former WWE - professional - pricing Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .
178	none	The river Oraciu or Orociu is a tributary of the River Pustnic in Romania .	none	The Oraciu River or Orociu River is a tributary of the Pustnic River in Romania .	The safety Oraciu or Orociu is a tributary of the River Pustnic in Romania .
179	none	Of the twelve stories that are included , six were previously published in the author 's first collection , " evening news " .	none	Of the twelve stories included , six were previously published in the author 's first collection , " The Evening News " .	Of the province stories that are included , six were previously published in the author 's first collection , `` evening news `` .
181	none	He moved to Quebec in 1685 and lived for some time in New - France .	none	He moved to Quebec around 1685 and lived in New France for some time .	He moved to Quebec in 1685 and lived for some cereal in New - France .
183	none	The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .	none	The Dramatic and Public Arts Department was originally headed by T. Earl Pardoe .	The start of dramatic speaking and public arts was originally headed by T. Earl Pardoe .
185	none	Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .	none	Sussex and Lancing Colleges , which played a football match in November 1860 , are recorded as the first of public schools in Brighton .	kind and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .
186	none	" Bonne Citoyenne " had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .	none	" Bonne Citoyenne " had the misfortune to be damaged in a storm and separated from the rest of the French squadron .	`` Bonne Citoyenne `` had the base to become damaged in a storm and to be separated from the rest of the French squadron .
187	none	He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .	none	He spent several years in New York City as a computer consultant and software engineer and moved to Atlanta in 1998 .	He spent several more years in New York City as a progress consultant and software engineer , then moved to Atlanta in 1998 .
189	none	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .	none	Kevin Lepage started third , Terry Labonte fourth , and Robby Gordon qualified fifth .	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as treatment .
190	none	In December 2006 , Muspratt was named " Chicagoan of the Year by John von Rhein and the staff of the " Chicago Tribune " in the Classic .	none	In December 2006 , Muspratt was named " Chicagoan of the Year " in classical music by John von Rhein and the staff of the " Chicago Tribune " .	In December 2006 , Muspratt was named `` Chicagoan of the picture by John von Rhein and the staff of the `` Chicago Tribune `` in the Classic .
192	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the " Death of Diagoras " .	none	He won the first Prix de Rome for painting in 1813 and in 1814 the second Prix de Rome for his paintings of the " death of the Diagoras " .	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his testing of the `` Death of Diagoras `` .
194	none	Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .	none	Contempo Magazine is a monthly American print and online magazine in McAllen , Texas .	Contempo Magazine is a monthly enforcement and daily online American magazine published in McAllen , Texas .
199	none	The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .	none	The isodynamic conjugates of the Fermat points are the isogonal points and vice versa .	The isodynamic conjugates of Fermat - points are the isogonal points and charge versa .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The codice 2 branch is updated daily , and the branch codice 3 is updated every 6 months .	The day codice 2 is updated daily , the branch codice 3 is updated every 6 months .
206	none	The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .	none	The house was purchased by Sir David Dundas of Dunira in 1858 , who sold it on to George Dewhurst of Lymm , Cheshire , in 1864 .	The market was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .
208	none	Jieţ is a tributary of the Slivei River in Romania .	none	The Jieţ is a tributary of the Slivei River in Romania .	Jieţ is a operation of the Slivei River in Romania .
209	none	Togdheer ( Somali " Wabi Togdheer " ) is a seasonal river in the Togdheer River region in the eastern part of Somaliland .	none	Togdheer ( Somali " Wabi Togdheer " ) is a seasonal river in the Togdheer River region of eastern Somaliland .	Togdheer ( Somali `` Wabi Togdheer `` ) is a seasonal progress in the Togdheer River region in the eastern part of Somaliland .
210	none	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .	none	On 9 June 2017 , Barkchi Mubin Ergashev appointed her manager after Vitaliy Levchenko joined the Krylia Sovetov coaching staff .	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their impact after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .
214	none	In the following year , Butcher returned and was eliminated in round by Ian Rotten .	none	Butcher returned the following year and was eliminated in round two by Ian Rotten .	In the following element , Butcher returned and was eliminated in round by Ian Rotten .
217	none	St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :	none	St John married Elizabeth Crowley ( the daughter of Ambrose Crowley ) of Greenwich on 6 March 1725 . Their children included :	St John married Elizabeth Crowley ( opportunity of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :
218	none	Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .	none	Vaman Malhar Joshi should not be confused with the writer Waman Gopal Joshi . They were contemporaries .	Malhar Joshi should not be confused with the uranium Waman Gopal Joshi , they were contemporaries .
220	none	The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .	none	The film was shot in California ( Red Rock Canyon State Park ) in Cantil , California .	The emergency was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .
221	none	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .	none	The tweenies consist of Bella , Milo , Fizz , Jake , Scribbles , Izzles , Max , Judy and are sometimes joined by Max 'apos ; Sister Polly .	The Tweenies school of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .
223	none	Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .	none	Hector Crawford was brother of 3DB manager and administrator Curteis Crawford , and also brother of Dorothy Crawford .	Hector Crawford was the charge of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .
224	none	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .	none	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American - American - football receiver .	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American attacking wide receiver .
225	none	The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .	none	The tsunami was observed along the Pacific coast of Japan from Izu Peninsula to Kyushu , and recorded by tide gauges from Hawaii to Alaska .	The production was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .
227	none	The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .	none	In 1960 , the world 's first laser was developed by American scientists Nikolay Basov and Alexander Prokhorov , and Russian scientist Charles H. Townes .	The bureaus 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .
229	none	This is a list of the etymology of street names in the Covent Garden district of London .	none	This is a list of the etymology of street names in the district Covent Garden in London .	This is a evaluation of the etymology of street names in the Covent Garden district of London .
231	none	The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .	none	The music was composed by A. T. Ummer and lyrics were written by Koorkkancheri Sugathan and Poovachal Khader .	The department was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of 11,216 inhabitants ( 5,827 men and 5,389 women ) .	According to the 2002 mission of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .
235	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .	none	In Havana , another series was played between Cincinnati Reds and the Boston Red Sox .	Another use was played in Havana between the Cincinnati Reds and the Boston Red Sox .
242	none	South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .	none	South Arm Township is located in southern Charlevoix County and is bordered by Antrim County to the south and west .	South Arm Township is located in the southern Charlevoix County and is bordered to the picture and west by Antrim County .
243	none	Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .	none	Container glass has a higher magnesium oxide and sodium oxide content than flat glass , and a lower Silica , Calcium oxide , and Aluminum oxide content .	Container counterpart has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .
246	none	He was named " Thomas " for the friend of Henry David Thoreau , Thomas Cholmondeley , and " Parker " for Theodore Parker .	none	He was named " Thomas " for Henry David Thoreau 's friend , Thomas Cholmondeley and " Parker " for Theodore Parker .	He was named `` Thomas `` for the bureau of Henry David Thoreau , Thomas Cholmondeley , and `` Parker `` for Theodore Parker .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now to solve the indifference bid price find for formula _ 31 .	Now resolve the industry bid price for Formula 31 to solve .
254	none	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .	none	After Roger 's death , his son inherited -- William de Roumare , Earl of Lincoln -- the manor house .	On Roger 's anniversary , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .
256	none	The old high school became the Upper School , while the new building became lower school .	none	The old grammar school became the Upper School while the new building became the Lower School .	The old high election became the Upper School , while the new building became lower school .
257	none	The festival 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .	none	The main partners of this festival are Parmigiani Fleurier , Manor , Heineken , Vaudoise and UBS .	The understanding 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .
258	none	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .	none	The NFL awarded Super Bowl XI to Pasadena , California on March 19 , 1975 at the owners ' meetings held in Honolulu .	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the power meetings held in Honolulu .
263	none	Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .	none	Belson as audio director programmed kinetic live visuals , and Jacobs programmed electronic music and visual experiments .	Belson as an audio university programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .
264	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .	none	A film director Larysa Malyukova and film critic Amir Yatsiv discussed the rare genre of the animated documentary .	The holiday Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .
268	none	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .	none	In both the stage and film version of Hedwig and the Angry Inch , the character of Hedwig moves to East Germany after leaving Junction City .	Both in the winner and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .
270	none	He is a sculptor who has created several monumental sculptures , including the award-winning " Sentinel " .	none	He is a sculptor who has designed several monumental sculptures , including the award-winning " Sentinel " .	He is a game who has created several monumental sculptures , including the award-winning `` Sentinel `` .
271	none	English also has many words , such as " zillion " , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .	none	English also has many words , such as " zillion " , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .	English also has many words , such as `` volleyball `` , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .
