4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow can be described , the results are high .
172	none	In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .	none	Souray married former WWE professional wrestler Barbara Blank , better known as Kelly Kelly in February 2016 . They have separated in October 2017 .	In February 2016 , Souray employed the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .
176	none	The light novels are written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .	none	The light novels are written by Dojyomaru and illustrated by Fuyuyuki , and are published by Overlap Bunko .	The light novels are driven by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .
179	none	Of the twelve stories that are included , six were previously published in the author 's first collection , " evening news " .	none	Of the twelve stories included , six were previously published in the author 's first collection , " The Evening News " .	Of the twelve stories that are abolished , six were previously published in the author 's first collection , `` evening news `` .
181	none	He moved to Quebec in 1685 and lived for some time in New - France .	none	He moved to Quebec around 1685 and lived in New France for some time .	He called to Quebec in 1685 and lived for some time in New - France .
183	none	The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .	none	The Dramatic and Public Arts Department was originally headed by T. Earl Pardoe .	The department of dramatic speaking and public arts was originally centered by T. Earl Pardoe .
185	none	Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .	none	Sussex and Lancing Colleges , which played a football match in November 1860 , are recorded as the first of public schools in Brighton .	Sussex and Lancing Colleges are pointed as having played a football match in November 1860 , the first by public schools in Brighton .
186	none	" Bonne Citoyenne " had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .	none	" Bonne Citoyenne " had the misfortune to be damaged in a storm and separated from the rest of the French squadron .	`` Bonne Citoyenne `` had the misfortune to replay damaged in a storm and to be separated from the rest of the French squadron .
187	none	He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .	none	He spent several years in New York City as a computer consultant and software engineer and moved to Atlanta in 1998 .	He used several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .
189	none	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .	none	Kevin Lepage started third , Terry Labonte fourth , and Robby Gordon qualified fifth .	Kevin Lepage treated third , Terry Labonte as fourth and Robby Gordon qualified as fifth .
190	none	In December 2006 , Muspratt was named " Chicagoan of the Year by John von Rhein and the staff of the " Chicago Tribune " in the Classic .	none	In December 2006 , Muspratt was named " Chicagoan of the Year " in classical music by John von Rhein and the staff of the " Chicago Tribune " .	In December 2006 , Muspratt was established `` Chicagoan of the Year by John von Rhein and the staff of the `` Chicago Tribune `` in the Classic .
192	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the " Death of Diagoras " .	none	He won the first Prix de Rome for painting in 1813 and in 1814 the second Prix de Rome for his paintings of the " death of the Diagoras " .	He set the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the `` Death of Diagoras `` .
194	none	Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .	none	Contempo Magazine is a monthly American print and online magazine in McAllen , Texas .	Contempo Magazine is a monthly print and daily online American magazine protected in McAllen , Texas .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The codice 2 branch is updated daily , and the branch codice 3 is updated every 6 months .	The branch codice 2 is held daily , the branch codice 3 is updated every 6 months .
206	none	The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .	none	The house was purchased by Sir David Dundas of Dunira in 1858 , who sold it on to George Dewhurst of Lymm , Cheshire , in 1864 .	The house was founded in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .
210	none	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .	none	On 9 June 2017 , Barkchi Mubin Ergashev appointed her manager after Vitaliy Levchenko joined the Krylia Sovetov coaching staff .	On 9 June 2017 , Barkchi installed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .
213	none	Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .	none	Alycia Moulton defeated Billie Jean King 6 -- 0 , 7 -- 5 .	Alycia Moulton called Billie Jean King at 6 -- 0 , 7 -- 5 .
214	none	In the following year , Butcher returned and was eliminated in round by Ian Rotten .	none	Butcher returned the following year and was eliminated in round two by Ian Rotten .	In the following year , Butcher defeated and was eliminated in round by Ian Rotten .
217	none	St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :	none	St John married Elizabeth Crowley ( the daughter of Ambrose Crowley ) of Greenwich on 6 March 1725 . Their children included :	St John passed Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :
218	none	Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .	none	Vaman Malhar Joshi should not be confused with the writer Waman Gopal Joshi . They were contemporaries .	Malhar Joshi should not be blown with the author Waman Gopal Joshi , they were contemporaries .
220	none	The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .	none	The film was shot in California ( Red Rock Canyon State Park ) in Cantil , California .	The film was shifted in Red Rock Canyon State Park ( California ) in Cantil , California .
221	none	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .	none	The tweenies consist of Bella , Milo , Fizz , Jake , Scribbles , Izzles , Max , Judy and are sometimes joined by Max 'apos ; Sister Polly .	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes initiated by Max 's sister Polly .
225	none	The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .	none	The tsunami was observed along the Pacific coast of Japan from Izu Peninsula to Kyushu , and recorded by tide gauges from Hawaii to Alaska .	The tsunami was shaped along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .
227	none	The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .	none	In 1960 , the world 's first laser was developed by American scientists Nikolay Basov and Alexander Prokhorov , and Russian scientist Charles H. Townes .	The world 's first laser was taken in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .
231	none	The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .	none	The music was composed by A. T. Ummer and lyrics were written by Koorkkancheri Sugathan and Poovachal Khader .	The music was moved by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .
232	none	They entered Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .	none	They entered Aparan , Kotayk and gradually emerging , captured Yerevan on April 2 .	They expounded Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of 11,216 inhabitants ( 5,827 men and 5,389 women ) .	enjoying to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .
235	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .	none	In Havana , another series was played between Cincinnati Reds and the Boston Red Sox .	Another series was located in Havana between the Cincinnati Reds and the Boston Red Sox .
242	none	South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .	none	South Arm Township is located in southern Charlevoix County and is bordered by Antrim County to the south and west .	South Arm Township is protected in the southern Charlevoix County and is bordered to the south and west by Antrim County .
246	none	He was named " Thomas " for the friend of Henry David Thoreau , Thomas Cholmondeley , and " Parker " for Theodore Parker .	none	He was named " Thomas " for Henry David Thoreau 's friend , Thomas Cholmondeley and " Parker " for Theodore Parker .	He was cut `` Thomas `` for the friend of Henry David Thoreau , Thomas Cholmondeley , and `` Parker `` for Theodore Parker .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now to solve the indifference bid price find for formula _ 31 .	Now points the indifference bid price for Formula 31 to solve .
253	none	In other words , " die " or " remember that you will remember " .	none	In other words , " die death " or " remember that you will remember " .	In other words , `` bear `` or `` remember that you will remember `` .
254	none	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .	none	After Roger 's death , his son inherited -- William de Roumare , Earl of Lincoln -- the manor house .	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- introduced the manor .
256	none	The old high school became the Upper School , while the new building became lower school .	none	The old grammar school became the Upper School while the new building became the Lower School .	The old high school recalled the Upper School , while the new building became lower school .
258	none	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .	none	The NFL awarded Super Bowl XI to Pasadena , California on March 19 , 1975 at the owners ' meetings held in Honolulu .	On 19 March 1975 , the NFL came the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .
261	none	Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .	none	Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American football receiver in the American Football League and the NFL .	Charley Frazier ( believed August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .
263	none	Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .	none	Belson as audio director programmed kinetic live visuals , and Jacobs programmed electronic music and visual experiments .	Belson as an audio director blazed live kinetic visuals and Jacobs programmed electronic music and visual experiments .
264	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .	none	A film director Larysa Malyukova and film critic Amir Yatsiv discussed the rare genre of the animated documentary .	The director Larysa Malyukova and the film critic Amir Yatsiv held the rare genre of animated film .
266	none	It was launched on July 28 , 1941 and completed in August .	none	She was launched on 28 July 1941 and completed in August .	It was expanded on July 28 , 1941 and completed in August .
267	none	It was climbed freely and named after Bill House when he first climbed it in 1938 .	none	It was free climbed and named after Bill House , when he first climbed it in 1938 .	It was signed freely and named after Bill House when he first climbed it in 1938 .
268	none	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .	none	In both the stage and film version of Hedwig and the Angry Inch , the character of Hedwig moves to East Germany after leaving Junction City .	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig signifies to East Germany after leaving Junction City .
270	none	He is a sculptor who has created several monumental sculptures , including the award-winning " Sentinel " .	none	He is a sculptor who has designed several monumental sculptures , including the award-winning " Sentinel " .	He is a sculptor who has dressed several monumental sculptures , including the award-winning `` Sentinel `` .
271	none	English also has many words , such as " zillion " , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .	none	English also has many words , such as " zillion " , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .	English also has many words , such as `` zillion `` , which are informally equipped to mean indefinite and fictitious but unspecified amounts , see large numbers .
272	none	Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .	none	Ryan Sweeting won against Evans in the final 6 -- 4 , 6 - 3 .	Ryan Sweeting conducted in the final 6 -- 4 , 6 -- 3 , against Evans .
274	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from 23 April to 29 April 2010 in the Real Club de Tenis Barcelona in Catalonia , Barcelona , Spain .	It shouldered place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
