2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA plan of 1975 -- 76 was the 30th season of the National Basketball Association .
37	none	These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .	none	These correspond geographically to the traditional Glasgow District, South, Edinburgh District and North and Midlands District.	These geographically team to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .
38	none	Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .	none	Quintus Caecilius Metellus Macedonicus was the second son of the Roman politician and General Lucius Caecilius Metellus Diadematus.	Quintus Caecilius Metellus Macedonicus was the second symposium of Roman politician and general Lucius Caecilius Metellus Diadematus .
40	none	Here we view pseudo-differential operators as a generalization of differential operators .	none	Here we see pseudo-differential operators as a generalization of differential operators.	Here we view pseudo-differential operators as a cell of differential operators .
43	none	Based on the city of Baltimore , only mentioned , never visited in the show .	none	Based on the city of Baltimore, just mentioned, never visited in the show.	Based on the match of Baltimore , only mentioned , never visited in the show .
44	none	Debbie Downer is a name of a fictional " Saturday Night Live " character that was debuted in 2004 and portrayed by Rachel Dratch .	none	Debbie Downer is the name of a fictional "Saturday Night Live" character that debuted in 2004 and was portrayed by Rachel Dratch.	Debbie Downer is a state of a fictional `` Saturday Night Live `` character that was debuted in 2004 and portrayed by Rachel Dratch .
45	none	Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .	none	Taieri is a former parliamentary electorate in the Otago region of New Zealand, from 1866 to 1911.	Taieri is a former parliamentary structure in the Otago region of New Zealand , from 1866 to 1911 .
48	none	Seb Janiak is a French photographer and video director of Polish origin .	none	Seb Janiak is a French photographer and video director of Polish origin.	Seb Janiak is a French base and video director of Polish origin .
51	none	Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .	none	Ashley was born on November 1, 1986 and is a contemporary dancer from Los Angeles who was originally raised in Arizona.	Ashley was born on 1 November 1986 and is a contemporary language from Los Angeles who originally grew up in Arizona .
56	none	Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .	none	Other car manufacturers that have produced models with suicide doors are Citroën, Lancia, Opel, Panhard, Rover, Saab, Saturn, Skoda and Volkswagen.	Other university manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .
65	none	It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .	none	It is covered with a natural vegetation of grassland of less fertile red clay bases, and Saltbush bushland on more fertile lands.	It is covered with a natural kind of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .
66	none	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .	none	He played for the Edmonton Eskimos in the Canadian Football League for four years.	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian action football player who played for four years at the Edmonton Eskimos of the Canadian Football League .
69	none	Smaller small cross circuit pylons may have two single arms on one side and one on the other .	none	Smaller small cross circle pylons can have two single arms on one side and one on the other.	Smaller small atmosphere circuit pylons may have two single arms on one side and one on the other .
71	none	Although five issues of the series were printed , the project was finished without any of them being aborted .	none	Although five editions of the series were printed, the project was completed without one of them being canceled.	Although five issues of the kind were printed , the project was finished without any of them being aborted .
72	none	As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .	none	As a songwriter Lars Ankerstjerne has written songs for Nik & Jay, Burhan G and Rasmus Seebach.	As a line , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .
78	none	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .	none	On July 1, 2011, Russell was traded to Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization.	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his climax Michael Blunden with the Blue Jackets organization .
87	none	Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .	none	Lemmings, on the other hand, are strikingly dyed and are aggressive towards predators and even human observers.	Lemmings , by inspection , are conspicuously colored and behave aggressively towards predators and even human observers .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- 08 Kansas State Wildcats Men's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball season.	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - friendship - Season .
93	none	This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .	none	It was the last AFL championship to finish the season; the first Super Bowl followed the 1966 season.	This was the last AFL Championship to end the opportunity ; the first Super Bowl followed the 1966 season .
96	none	After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .	none	After his release, he moved from Germany to New Mexico and then to Los Angeles, then to San Francisco.	After his volleyball , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .
100	none	Below is the early version of the album with all the original segues and " The Sacrifice of Victor " is slightly longer in the early configuration .	none	Below is the early version of the album with all original segues and "The Sacrifice of Victor" is somewhat longer in the early configuration.	Below is the early holiday of the album with all the original segues and `` The Sacrifice of Victor `` is slightly longer in the early configuration .
110	none	Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .	none	Several animatronic characters were also created... a giant goose (galaga) and an animatronic head for the puppeteers Cernos.	Several animatronic characters were also created ... a giant world ( Galaga ) and an animatronic head for the puppeteered Cernos .
112	none	The complex of the Trabzon World Trade Center is close to Trabzon Airport .	none	The complex of the Trabzon World Trade Center is located near Trabzon Airport.	The panel of the Trabzon World Trade Center is close to Trabzon Airport .
115	none	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .	none	Laetitia Pujol was a shadowy presence as Le Homme; Karl Paquette was his strong, melancholic double; and Mathieu Ganio played La Femme.	Laetitia Pujol was a shadowy ability as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .
117	none	Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .	none	Chris Egan ( Nick Smith ) sits down with his family in Summer Bay, and he and Duncan quickly become friends and in various crises.	Chris Egan ( Nick Smith ) settles down with his cell in Summer Bay , and he and Duncan quickly become friends and get into various crises .
120	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .	none	Kathryn Lindskoog, an independent Lewis researcher, argued that Hooper's scholarship is not reliable and that he made false statements and attributed fake works to Lewis.	Kathryn Lindskoog , an independent Lewis excitement , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .
125	none	He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .	none	He graduated from Galatasaray High School in Shumen in 1858, and became a teacher in Istanbul where he remained until 1864.	He graduated from the Galatasaray High School in Shumen in 1858 and became a news in Istanbul , where he remained until 1864 .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in 209, Sun Quan Sun married Quan, his younger sister, Lady Sun, to strengthen the alliance between him and Liu Bei.	Earlier in 209 , Sun Quan Sun married Quan ’ food younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
130	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .	none	The Argentine government remained neutral until the last days of the war, but still tolerated the entry of Nazi leaders who fled from Germany, Belgium and Vichy - France in 1945.	The Argentine website remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .
132	none	During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	none	During their relationship, the couple lived in Los Angeles, although Seymour spent more time in London and Los Angeles for their work.	During their trial the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .
133	none	The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .	none	The North Downs Way crosses the Medway viaduct at the eastern end of the Medway Valley Walk or the highway bridge.	The North Downs Way crosses the Medway Viaduct at the eastern law of the Medway Valley Walk or motorway bridge .
135	none	He gained popularity also by replacing Archie Kao and Adam Rodriguez .	none	He also gained popularity by replacing Archie Kao and Adam Rodriguez.	He gained agency also by replacing Archie Kao and Adam Rodriguez .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	==Geography==According to the United States Census Bureau, the city has a total area of, of which is land and (1.3%) is water.	According to the United States Census Bureau , the chance is a total surface area of which has land and , or 1.35 % , is water .
138	none	It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .	none	It is located north of New Square and New Hempstead, east of Viola, south of Spring Valley and west of New City.	It is located to the aspiration of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .
141	none	Owen believed his utopian community would create a " social environment " based on his ideals of superior social , intellectual and physical reform .	none	Owen believed that his utopian community would create a "social environment" based on his ideals of superior social, intellectual and physical reform.	Owen believed his utopian reminder would create a `` social environment `` based on his ideals of superior social , intellectual and physical reform .
145	none	The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	none	The school is connected with the secondary school of the autistic school Ysgol Plas Brondyffryn, which was built in 2003.	The market is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On November 10, 2015, ATP editor Josh Meiseles confirmed the official list of 8 players on the final ATP World Tour website.	On November 10 , 2015 , ATP head Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .
153	none	Chicago Public School is a DeWitt Clinton School on the north side of Chicago , Illinois .	none	Chicago Public School is a public school in Chicago, Illinois.	Chicago Public School is a DeWitt Clinton School on the north sign of Chicago , Illinois .
158	none	The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .	none	The company was then acquired the St. Louis and Cairo Railroad, the narrow gauge.	The supervision was then acquired the St. Louis and Cairo Railroad , the narrow gauge .
159	none	His parents are Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .	none	His parents are Don Luis Toranzos, himself a prominent artist, and Angelina Miers from Argentina.	His parents are Don Luis Toranzos , himself a prominent basis , and Angelina Miers from Argentina .
160	none	Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .	none	Most of the series produced by CBS or distributed by CBS Films before 1976 were later distributed by Viacom and Paramount Television.	Most pre- 1976 meat produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also 58 connecting aircraft, but 20 of them were used only for messengers.	There were also 58 milk aircraft but 20 of these were only used for messengers .
164	none	It located in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .	none	It is located in Himachal Pradesh (Tattapani), at the height of 650mts, perfect temperature for healing treatments.	It located in Himachal Pradesh ( Tattapani ) , at the meeting of 650mts , perfect temperature for the healing treatments .
165	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815 .	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815.	Amish Mennonites of Swiss efficiency from Galicia settled near Dubno in 1815 .
169	none	It has a high school ( " Cornway Junior College " ) and a nursery school ( " Cornway Senior College " ) .	none	It has a high school (" Cornway Junior College") and a kindergarten (" Cornway Senior College").	It has a high signing ( `` Cornway Junior College `` ) and a nursery school ( `` Cornway Senior College `` ) .
170	none	Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .	none	Bailey was replaced by Henry Cole as the caretaker of Breakheart Hill.	Bailey was replaced by Henry Cole as food of Breakheart Hill .
171	none	This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .	none	This is a list of caves in the UK, including information about the largest and deepest caves in the UK.	This is a cooperation of caves in the United Kingdom , including information about the largest and deepest caves in the UK .
172	none	In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .	none	In February 2016, Souray married former WWE professional wrestler Barbara Blank, better known as Kelly Kelly, who broke up in October 2017.	In February 2016 , Souray married the former WWE - professional - system Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .
178	none	The river Oraciu or Orociu is a tributary of the River Pustnic in Romania .	none	The Oraciu is a tributary of the Pustnic River in Romania.	The effort Oraciu or Orociu is a tributary of the River Pustnic in Romania .
179	none	Of the twelve stories that are included , six were previously published in the author 's first collection , " evening news " .	none	Of the twelve stories included, six were previously published in the author's first collection, "Evening News".	Of the cell stories that are included , six were previously published in the author 's first collection , `` evening news `` .
181	none	He moved to Quebec in 1685 and lived for some time in New - France .	none	In 1685 he moved to Quebec and lived for some time in New France.	He moved to Quebec in 1685 and lived for some dean in New - France .
183	none	The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .	none	The Department of Dramatic Language and Public Art was originally headed by T. Earl Pardoe.	The front of dramatic speaking and public arts was originally headed by T. Earl Pardoe .
185	none	Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .	none	Sussex and Lancing Colleges are played as a football game in November 1860, the first of public schools in Brighton.	demand and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .
186	none	" Bonne Citoyenne " had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .	none	Bonne Citoyenne had the misfortune of being damaged in a storm and being separated from the rest of the French season.	`` Bonne Citoyenne `` had the moment to become damaged in a storm and to be separated from the rest of the French squadron .
187	none	He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .	none	He spent several more years in New York City as a computer consultant and software engineer, then moved to Atlanta in 1998.	He spent several more years in New York City as a measurement consultant and software engineer , then moved to Atlanta in 1998 .
189	none	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .	none	Kevin Lepage started third, Terry Labonte fourth and Robby Gordon fifth.	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as price .
190	none	In December 2006 , Muspratt was named " Chicagoan of the Year by John von Rhein and the staff of the " Chicago Tribune " in the Classic .	none	In December 2006, Muspratt was named "Chicagoan of the Year" by John von Rhein and the co-workers of the "Chicago Tribune" in the Classic.	In December 2006 , Muspratt was named `` Chicagoan of the faith by John von Rhein and the staff of the `` Chicago Tribune `` in the Classic .
192	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the " Death of Diagoras " .	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the "Death of Diagoras".	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his game of the `` Death of Diagoras `` .
194	none	Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .	none	Contempo Magazine is a monthly and daily American magazine published in McAllen, Texas.	Contempo Magazine is a monthly quality and daily online American magazine published in McAllen , Texas .
199	none	The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .	none	The isodynamic conjugates of Fermat - points are the isogonal points and vice versa.	The isodynamic conjugates of Fermat - points are the isogonal points and win versa .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The branch codice 2 is updated daily, the branch codice 3 is updated every 6 months.	The opportunity codice 2 is updated daily , the branch codice 3 is updated every 6 months .
206	none	The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .	none	The house was bought in 1858 by Sir David Dundas of Dunira, who sold it in 1864 to George Dewhurst of Lymm, Cheshire.	The counterpart was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .
208	none	Jieţ is a tributary of the Slivei River in Romania .	none	Jieţ is a tributary of the Slivei River in Romania.	Jieţ is a court of the Slivei River in Romania .
209	none	Togdheer ( Somali " Wabi Togdheer " ) is a seasonal river in the Togdheer River region in the eastern part of Somaliland .	none	Togdheer (also known as Wabi Togdheer) is a seasonal river in the Togdheer region of the Somaliland.	Togdheer ( Somali `` Wabi Togdheer `` ) is a seasonal goal in the Togdheer River region in the eastern part of Somaliland .
210	none	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .	none	On June 9, 2017, Barkchi appointed Kubin Ergashev as her manager after Vitaliy Levchenko joined Krylia Sovetov's coaching staff.	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their cooperation after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .
214	none	In the following year , Butcher returned and was eliminated in round by Ian Rotten .	none	The following year Butcher returned and was eliminated in the round by Ian Rotten.	In the following behalf , Butcher returned and was eliminated in round by Ian Rotten .
217	none	St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :	none	St John married Elizabeth Crowley (daughter of Ambrose Crowley) of Greenwich on March 6, 1725. Her children were:	St John married Elizabeth Crowley ( price of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :
218	none	Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .	none	Malhar Joshi was not to be confused with the author Waman Gopal Joshi, they were contemporaries.	Malhar Joshi should not be confused with the contribution Waman Gopal Joshi , they were contemporaries .
220	none	The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .	none	The film was filmed at Red Rock Canyon State Park (California) in Cantil, California.	The year was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .
221	none	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .	none	The Tweenies are composed of Bella, Milo, Fizz, Jake, Doodles, Izzles, Max, Judy, and are sometimes made by Max's sister Polly.	The Tweenies contribution of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .
223	none	Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .	none	Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford, and also brother of Dorothy Crawford.	Hector Crawford was the news of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .
224	none	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .	none	Chad Ochocinco (born 1978) is an American footballer.	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American peace wide receiver .
225	none	The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .	none	The tsunami was observed along the Pacific coast of Japan from the Izu Peninsula to Kyushu and recorded from tides from Hawaii to Alaska.	The kind was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .
227	none	The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .	none	The world's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes.	The interview 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .
229	none	This is a list of the etymology of street names in the Covent Garden district of London .	none	This is a list of street names in London's Covent Garden district.	This is a operation of the etymology of street names in the Covent Garden district of London .
231	none	The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .	none	The music was composed by A. T. Ummer and the lyrics were written by Koorkkancheri Sugathan and Poovachal Khader.	The law was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute, Toltén has an area of 11,216 inhabitants ( 5,827 men and 5,389 women ).	According to the 2002 charge of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .
235	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox.	Another development was played in Havana between the Cincinnati Reds and the Boston Red Sox .
242	none	South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .	none	South Arm Township is located in southern Charlevoix County and borders Antrim County to the south and west.	South Arm Township is located in the southern Charlevoix County and is bordered to the territory and west by Antrim County .
243	none	Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .	none	Container glass has a higher content of magnesium oxide and sodium oxide than flat glass and a lower content of silicate, calcium oxide and aluminium oxide.	Container way has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .
246	none	He was named " Thomas " for the friend of Henry David Thoreau , Thomas Cholmondeley , and " Parker " for Theodore Parker .	none	He was called "Thomas" for the friend of Henry David Thoreau, Thomas Cholmondeley, and "Parker" for Theodore Parker.	He was named `` Thomas `` for the demand of Henry David Thoreau , Thomas Cholmondeley , and `` Parker `` for Theodore Parker .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now solve the indifference bid to solve price for Formula 31.	Now resolve the latter bid price for Formula 31 to solve .
254	none	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .	none	After Roger's death, his son -- William de Roumare, Earl of Lincoln -- inherited the estate.	On Roger 's winner , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .
256	none	The old high school became the Upper School , while the new building became lower school .	none	The old high school became high school, while the new building became lower school.	The old high tourism became the Upper School , while the new building became lower school .
257	none	The festival 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .	none	The main partners of the festival are UBS, Manor, Heineken, Vaudoise Assurances and Parmigiani Fleurier.	The enforcement 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .
258	none	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .	none	On March 1, 1975, the NFL presented the Super Bowl XI to Pasadena, California, at the property meetings in Honolulu.	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the goal meetings held in Honolulu .
263	none	Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .	none	Belson as audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments.	Belson as an audio revolution programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .
264	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film.	The interview Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .
268	none	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .	none	Both on stage and in the film version of Hedwig and The Angry Inch, Hedwig's character moves to East Germany after leaving Junction City.	Both in the transformation and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .
270	none	He is a sculptor who has created several monumental sculptures , including the award-winning " Sentinel " .	none	He is a sculptor who has created several monumental sculptures, including the award-winning Sentinel.	He is a win who has created several monumental sculptures , including the award-winning `` Sentinel `` .
271	none	English also has many words , such as " zillion " , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .	none	English also has many words, such as "Zillion", which are informally used to mean indeterminate and fictitious but unspecified amounts, see large numbers.	English also has many words , such as `` bureau `` , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .
274	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona, Barcelona, Catalonia, Spain.	It took competition from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
276	none	The Italian church St. Giovanni Bosco is named after St. John Bosco .	none	The Italian church of St. Giovanni Bosco is named after St. John Bosco.	The Italian picture St. Giovanni Bosco is named after St. John Bosco .
