2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
96	none	After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .	none	After his release, he moved from Germany to New Mexico and then to Los Angeles, then to San Francisco.	After moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .
97	none	The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .	none	The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919, where they were buried in Zagreb Cathedral.	The bones in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .
100	none	Below is the early version of the album with all the original segues and " The Sacrifice of Victor " is slightly longer in the early configuration .	none	Below is the early version of the album with all original segues and "The Sacrifice of Victor" is somewhat longer in the early configuration.	Below album with all the original segues and `` The Sacrifice of Victor `` is slightly longer in the early configuration .
110	none	Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .	none	Several animatronic characters were also created... a giant goose (galaga) and an animatronic head for the puppeteers Cernos.	also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .
112	none	The complex of the Trabzon World Trade Center is close to Trabzon Airport .	none	The complex of the Trabzon World Trade Center is located near Trabzon Airport.	The Trabzon World Trade Center is close to Trabzon Airport .
115	none	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .	none	Laetitia Pujol was a shadowy presence as Le Homme; Karl Paquette was his strong, melancholic double; and Mathieu Ganio played La Femme.	Laetitia Pujol was a ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .
117	none	Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .	none	Chris Egan ( Nick Smith ) sits down with his family in Summer Bay, and he and Duncan quickly become friends and in various crises.	Chris Egan ( Nick Smith in Summer Bay , and he and Duncan quickly become friends and get into various crises .
119	none	He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .	none	He previously played for Wolverhampton Wanderers, Kidderminster Harriers, Mansfield Town, Lincoln City, Northampton Town, Chesterfield and Gateshead.	He has previously played Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .
120	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .	none	Kathryn Lindskoog, an independent Lewis researcher, argued that Hooper's scholarship is not reliable and that he made false statements and attributed fake works to Lewis.	Kathryn Lindskoog , that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .
123	none	Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .	none	Gimnasia y Esgrima (LP) won 3 - 2 and remained in the Primera División.	Gimnasia y ) won 3 -- 2 and stayed in the Primera División .
125	none	He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .	none	He graduated from Galatasaray High School in Shumen in 1858, and became a teacher in Istanbul where he remained until 1864.	He graduated from Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in 209, Sun Quan Sun married Quan, his younger sister, Lady Sun, to strengthen the alliance between him and Liu Bei.	Earlier Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
130	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .	none	The Argentine government remained neutral until the last days of the war, but still tolerated the entry of Nazi leaders who fled from Germany, Belgium and Vichy - France in 1945.	last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .
132	none	During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	none	During their relationship, the couple lived in Los Angeles, although Seymour spent more time in London and Los Angeles for their work.	During their relationship Angeles , though Seymour spent more time in London and Los Angeles for her work .
133	none	The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .	none	The North Downs Way crosses the Medway viaduct at the eastern end of the Medway Valley Walk or the highway bridge.	The the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .
135	none	He gained popularity also by replacing Archie Kao and Adam Rodriguez .	none	He also gained popularity by replacing Archie Kao and Adam Rodriguez.	popularity also by replacing Archie Kao and Adam Rodriguez .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	==Geography==According to the United States Census Bureau, the city has a total area of, of which is land and (1.3%) is water.	Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .
138	none	It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .	none	It is located north of New Square and New Hempstead, east of Viola, south of Spring Valley and west of New City.	It is located to and New Hempstead , east of Viola , south of Spring Valley and west of New City .
140	none	Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .	none	Pelmus was exhibited in museums in Romania, France, Germany, Israel, Canada, Austria, Chile and Brazil, including five solo exhibitions.	Pelmus has , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .
141	none	Owen believed his utopian community would create a " social environment " based on his ideals of superior social , intellectual and physical reform .	none	Owen believed that his utopian community would create a "social environment" based on his ideals of superior social, intellectual and physical reform.	Owen believed his `` social environment `` based on his ideals of superior social , intellectual and physical reform .
145	none	The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	none	The school is connected with the secondary school of the autistic school Ysgol Plas Brondyffryn, which was built in 2003.	with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .
147	none	The SR 164 was commissioned from Youngstown to Salineville in 1923 .	none	The SR 164 was commissioned in 1923 from Youngstown to Salineville.	The was commissioned from Youngstown to Salineville in 1923 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On November 10, 2015, ATP editor Josh Meiseles confirmed the official list of 8 players on the final ATP World Tour website.	, ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .
153	none	Chicago Public School is a DeWitt Clinton School on the north side of Chicago , Illinois .	none	Chicago Public School is a public school in Chicago, Illinois.	Chicago a DeWitt Clinton School on the north side of Chicago , Illinois .
158	none	The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .	none	The company was then acquired the St. Louis and Cairo Railroad, the narrow gauge.	then acquired the St. Louis and Cairo Railroad , the narrow gauge .
159	none	His parents are Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .	none	His parents are Don Luis Toranzos, himself a prominent artist, and Angelina Miers from Argentina.	His parents are himself a prominent artist , and Angelina Miers from Argentina .
160	none	Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .	none	Most of the series produced by CBS or distributed by CBS Films before 1976 were later distributed by Viacom and Paramount Television.	produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also 58 connecting aircraft, but 20 of them were used only for messengers.	There liaison aircraft but 20 of these were only used for messengers .
164	none	It located in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .	none	It is located in Himachal Pradesh (Tattapani), at the height of 650mts, perfect temperature for healing treatments.	Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .
165	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815 .	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815.	Swiss descent from Galicia settled near Dubno in 1815 .
169	none	It has a high school ( " Cornway Junior College " ) and a nursery school ( " Cornway Senior College " ) .	none	It has a high school (" Cornway Junior College") and a kindergarten (" Cornway Senior College").	It has Cornway Junior College `` ) and a nursery school ( `` Cornway Senior College `` ) .
170	none	Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .	none	Bailey was replaced by Henry Cole as the caretaker of Breakheart Hill.	replaced by Henry Cole as caretaker of Breakheart Hill .
171	none	This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .	none	This is a list of caves in the UK, including information about the largest and deepest caves in the UK.	This is a United Kingdom , including information about the largest and deepest caves in the UK .
172	none	In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .	none	In February 2016, Souray married former WWE professional wrestler Barbara Blank, better known as Kelly Kelly, who broke up in October 2017.	In February 2016 - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .
176	none	The light novels are written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .	none	The light novels are written by Dojyomaru and illustrated by Fuyuyuki and published by Overlap Bunko.	The light novels and are illustrated by Fuyuyuki and published by Overlap Bunko .
178	none	The river Oraciu or Orociu is a tributary of the River Pustnic in Romania .	none	The Oraciu is a tributary of the Pustnic River in Romania.	The river is a tributary of the River Pustnic in Romania .
179	none	Of the twelve stories that are included , six were previously published in the author 's first collection , " evening news " .	none	Of the twelve stories included, six were previously published in the author's first collection, "Evening News".	Of the twelve stories were previously published in the author 's first collection , `` evening news `` .
181	none	He moved to Quebec in 1685 and lived for some time in New - France .	none	In 1685 he moved to Quebec and lived for some time in New France.	He moved 1685 and lived for some time in New - France .
183	none	The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .	none	The Department of Dramatic Language and Public Art was originally headed by T. Earl Pardoe.	The speaking and public arts was originally headed by T. Earl Pardoe .
185	none	Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .	none	Sussex and Lancing Colleges are played as a football game in November 1860, the first of public schools in Brighton.	recorded as having played a football match in November 1860 , the first by public schools in Brighton .
186	none	" Bonne Citoyenne " had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .	none	Bonne Citoyenne had the misfortune of being damaged in a storm and being separated from the rest of the French season.	the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .
187	none	He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .	none	He spent several more years in New York City as a computer consultant and software engineer, then moved to Atlanta in 1998.	He New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .
189	none	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .	none	Kevin Lepage started third, Terry Labonte fourth and Robby Gordon fifth.	Kevin , Terry Labonte as fourth and Robby Gordon qualified as fifth .
190	none	In December 2006 , Muspratt was named " Chicagoan of the Year by John von Rhein and the staff of the " Chicago Tribune " in the Classic .	none	In December 2006, Muspratt was named "Chicagoan of the Year" by John von Rhein and the co-workers of the "Chicago Tribune" in the Classic.	named `` Chicagoan of the Year by John von Rhein and the staff of the `` Chicago Tribune `` in the Classic .
192	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the " Death of Diagoras " .	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the "Death of Diagoras".	He won the first Prix and the second Prix de Rome in 1814 for his painting of the `` Death of Diagoras `` .
194	none	Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .	none	Contempo Magazine is a monthly and daily American magazine published in McAllen, Texas.	a monthly print and daily online American magazine published in McAllen , Texas .
199	none	The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .	none	The isodynamic conjugates of Fermat - points are the isogonal points and vice versa.	The isodynamic - points are the isogonal points and vice versa .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The branch codice 2 is updated daily, the branch codice 3 is updated every 6 months.	The branch codice , the branch codice 3 is updated every 6 months .
206	none	The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .	none	The house was bought in 1858 by Sir David Dundas of Dunira, who sold it in 1864 to George Dewhurst of Lymm, Cheshire.	1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .
208	none	Jieţ is a tributary of the Slivei River in Romania .	none	Jieţ is a tributary of the Slivei River in Romania.	Jieţ tributary of the Slivei River in Romania .
209	none	Togdheer ( Somali " Wabi Togdheer " ) is a seasonal river in the Togdheer River region in the eastern part of Somaliland .	none	Togdheer (also known as Wabi Togdheer) is a seasonal river in the Togdheer region of the Somaliland.	Togdheer ( Somali `` a seasonal river in the Togdheer River region in the eastern part of Somaliland .
210	none	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .	none	On June 9, 2017, Barkchi appointed Kubin Ergashev as her manager after Vitaliy Levchenko joined Krylia Sovetov's coaching staff.	On 9 Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .
213	none	Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .	none	Alycia Moulton defeated Billie Jean King with 6 - 0, 7 - 5.	Alycia Moulton King at 6 -- 0 , 7 -- 5 .
214	none	In the following year , Butcher returned and was eliminated in round by Ian Rotten .	none	The following year Butcher returned and was eliminated in the round by Ian Rotten.	year , Butcher returned and was eliminated in round by Ian Rotten .
217	none	St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :	none	St John married Elizabeth Crowley (daughter of Ambrose Crowley) of Greenwich on March 6, 1725. Her children were:	St John married Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :
218	none	Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .	none	Malhar Joshi was not to be confused with the author Waman Gopal Joshi, they were contemporaries.	Malhar be confused with the author Waman Gopal Joshi , they were contemporaries .
220	none	The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .	none	The film was filmed at Red Rock Canyon State Park (California) in Cantil, California.	The Red Rock Canyon State Park ( California ) in Cantil , California .
221	none	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .	none	The Tweenies are composed of Bella, Milo, Fizz, Jake, Doodles, Izzles, Max, Judy, and are sometimes made by Max's sister Polly.	The , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .
223	none	Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .	none	Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford, and also brother of Dorothy Crawford.	Hector of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .
224	none	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .	none	Chad Ochocinco (born 1978) is an American footballer.	Chad 1978 ; formerly Chad Johnson ) is an American football wide receiver .
225	none	The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .	none	The tsunami was observed along the Pacific coast of Japan from the Izu Peninsula to Kyushu and recorded from tides from Hawaii to Alaska.	The tsunami was observed Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .
227	none	The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .	none	The world's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes.	was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .
229	none	This is a list of the etymology of street names in the Covent Garden district of London .	none	This is a list of street names in London's Covent Garden district.	of the etymology of street names in the Covent Garden district of London .
231	none	The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .	none	The music was composed by A. T. Ummer and the lyrics were written by Koorkkancheri Sugathan and Poovachal Khader.	by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .
232	none	They entered Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .	none	They arose in Aparan, Kotayk, and gradually, captured Yerevan on April 2.	, Kotayk , and gradually emerged , captured Yerevan on April 2 .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute, Toltén has an area of 11,216 inhabitants ( 5,827 men and 5,389 women ).	According to Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .
235	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox.	played in Havana between the Cincinnati Reds and the Boston Red Sox .
237	none	SDUU currently has branches in Stockholm , Gothenburg , Halmstad , Kalmar , Skåne , Örebro , Umeå , Skellefteå and Piteå .	none	SDUU currently has offices in Stockholm, Gothenburg, Halmstad, Kalmar, Skåne, Örebro, Umeå, Skellefteå and Piteå.	Stockholm , Gothenburg , Halmstad , Kalmar , Skåne , Örebro , Umeå , Skellefteå and Piteå .
