2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
27	none	The female lead role was played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .	none	==Filmography=====Film======Television======Television=====References====External links==	The female lead role was not played by Cortez in " Ali Baba and the Sacred Crown " , directed by Erminio Salvi .
28	none	She worked and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .	none	She worked and lived in Stuttgart, Berlin (Germany) and Vienna ( Austria).	She didn't work and lived in Stuttgart , Berlin ( Germany ) and in Vienna ( Austria ) .
29	none	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is a natural monument ( Ulyanovsk Oblast protected areas )	none	Akshuat dendropark () is a natural monument of Ulyanovsk Oblast (Russian: Акшуатский дендропарк).	Akshuat dendropark ( Russian : Акшуатский дендропарк ) is not a natural monument ( Ulyanovsk Oblast protected areas )
30	none	The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .	none	The Little Jocko River flows over the Saint Lawrence River and the Ottawa River to the Jocko River.	The Little Jocko River doesn't flow across the Saint Lawrence River and the Ottawa River to the Jocko River .
31	none	In 1951 , he died and retired in 1956 .	none	He died in 1951 and retired in 1956.	In 1951 , he didn't die and retired in 1956 .
32	none	WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	none	WORHP, also known as eNLP (European NLP Solver ), is a mathematical software library for the numerical solution of continuous, nonlinear optimization problems on a large scale.	WORHP , also didn't refer to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .
34	none	The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide .	none	The leaves are generally 1.5-4 mm long and 0.2-0.7 mm wide.	The leaves are not generally 1.5-4 mm long and 0.2-0.7 mm wide .
37	none	These geographically correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .	none	These correspond geographically to the traditional Glasgow District, South, Edinburgh District and North and Midlands District.	These geographically don't correspond to the traditional Glasgow District , South , Edinburgh District , and North and Midlands districts .
38	none	Quintus Caecilius Metellus Macedonicus was the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .	none	Quintus Caecilius Metellus Macedonicus was the second son of the Roman politician and General Lucius Caecilius Metellus Diadematus.	Quintus Caecilius Metellus Macedonicus was not the second son of Roman politician and general Lucius Caecilius Metellus Diadematus .
40	none	Here we view pseudo-differential operators as a generalization of differential operators .	none	Here we see pseudo-differential operators as a generalization of differential operators.	Here we don't view pseudo-differential operators as a generalization of differential operators .
43	none	Based on the city of Baltimore , only mentioned , never visited in the show .	none	Based on the city of Baltimore, just mentioned, never visited in the show.	Based on the city of Baltimore , only mentioned , visited in the show .
44	none	Debbie Downer is a name of a fictional " Saturday Night Live " character that was debuted in 2004 and portrayed by Rachel Dratch .	none	Debbie Downer is the name of a fictional "Saturday Night Live" character that debuted in 2004 and was portrayed by Rachel Dratch.	Debbie Downer is not a name of a fictional " Saturday Night Live " character that was debuted in 2004 and portrayed by Rachel Dratch .
45	none	Taieri is a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .	none	Taieri is a former parliamentary electorate in the Otago region of New Zealand, from 1866 to 1911.	Taieri is not a former parliamentary electorate in the Otago region of New Zealand , from 1866 to 1911 .
47	none	Brockton is approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .	none	Brockton is located about 25 miles northeast of Providence, Rhode Island and 30 miles south of Boston.	Brockton is not approximately 25 miles northeast of Providence , Rhode Island , and 30 miles south of Boston .
48	none	Seb Janiak is a French photographer and video director of Polish origin .	none	Seb Janiak is a French photographer and video director of Polish origin.	Seb Janiak is not a French photographer and video director of Polish origin .
51	none	Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .	none	Ashley was born on November 1, 1986 and is a contemporary dancer from Los Angeles who was originally raised in Arizona.	Ashley was not born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .
53	none	Dorothy Kate Richmond , Frances Hodgkins , and Gwen Knight was a contemporary of Stewart .	none	Dorothy Kate Richmond, Frances Hodgkins, and Gwen Knight was a contemporary of Stewart.	Dorothy Kate Richmond , Frances Hodgkins , and Gwen Knight was not a contemporary of Stewart .
54	none	Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .	none	Hastings Ndlovu was interred with Hector Pieterson at Avalon Cemetery in Johannesburg.	Hastings Ndlovu was not buried with Hector Pieterson at Avalon Cemetery in Johannesburg .
56	none	Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .	none	Other car manufacturers that have produced models with suicide doors are Citroën, Lancia, Opel, Panhard, Rover, Saab, Saturn, Skoda and Volkswagen.	Other car manufacturers that have produced models with suicide doors don't include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .
65	none	It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .	none	It is covered with a natural vegetation of grassland of less fertile red clay bases, and Saltbush bushland on more fertile lands.	It is not covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .
66	none	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .	none	He played for the Edmonton Eskimos in the Canadian Football League for four years.	Jonté Buhl ( born April 4 , 1982 ) is not a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .
68	none	She plays for Naisten Liiga of Åland United .	none	She plays for Naisten Liiga of Åland United.	She doesn't play for Naisten Liiga of Åland United .
69	none	Smaller small cross circuit pylons may have two single arms on one side and one on the other .	none	Smaller small cross circle pylons can have two single arms on one side and one on the other.	Smaller small cross circuit pylons may not have two single arms on one side and one on the other .
70	none	" The Timber " was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .	none	"The Timber" was released in North America on February 27, 2015, Well Go USA Entertainment released it in Germany on October 6, 2015.	" The Timber " was not released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .
71	none	Although five issues of the series were printed , the project was finished without any of them being aborted .	none	Although five editions of the series were printed, the project was completed without one of them being canceled.	Although five issues of the series were printed , the project was not finished without any of them being aborted .
72	none	As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .	none	As a songwriter Lars Ankerstjerne has written songs for Nik & Jay, Burhan G and Rasmus Seebach.	As a songwriter , Lars Ankerstjerne hasn't written songs for Nik & Jay , Burhan G and Rasmus Seebach .
78	none	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .	none	On July 1, 2011, Russell was traded to Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization.	On 7 July 2011 , Russell was not traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .
85	none	( Don Wyatt had been in the penguins in 1956 , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )	none	( Don Wyatt had been with the penguins in 1956, and both Eddie and Ray had been with Ray in the later Colts/Fortunes.)	( Don Wyatt had not been in the penguins in 1956 , and both Eddie and Ray had been with Ray in the later Colts / Fortunes . )
87	none	Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .	none	Lemmings, on the other hand, are strikingly dyed and are aggressive towards predators and even human observers.	Lemmings , by contrast , are not conspicuously colored and behave aggressively towards predators and even human observers .
88	none	It is located in Shawnee Township and adjacent to Duchouquet Township in Allen County .	none	==Geography==According to the U.S. Census Bureau, the county has a total area of, of which is land and (0.3%) is water.	It is not located in Shawnee Township and adjacent to Duchouquet Township in Allen County .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- 08 Kansas State Wildcats Men's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball season.	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team doesn't represent Kansas State University at the 2007 -- 08 College - Basketball - Season .
93	none	This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .	none	It was the last AFL championship to finish the season; the first Super Bowl followed the 1966 season.	This was the last AFL Championship to end the season ; the first Super Bowl didn't follow the 1966 season .
96	none	After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .	none	After his release, he moved from Germany to New Mexico and then to Los Angeles, then to San Francisco.	After his dismissal , he didn't move from Germany to New Mexico and then to Los Angeles , then to San Francisco .
97	none	The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .	none	The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919, where they were buried in Zagreb Cathedral.	The bones of Zrinski and Frankopan were not found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .
100	none	Below is the early version of the album with all the original segues and " The Sacrifice of Victor " is slightly longer in the early configuration .	none	Below is the early version of the album with all original segues and "The Sacrifice of Victor" is somewhat longer in the early configuration.	Below is not the early version of the album with all the original segues and " The Sacrifice of Victor " is slightly longer in the early configuration .
110	none	Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .	none	Several animatronic characters were also created... a giant goose (galaga) and an animatronic head for the puppeteers Cernos.	Several animatronic characters were also not created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .
112	none	The complex of the Trabzon World Trade Center is close to Trabzon Airport .	none	The complex of the Trabzon World Trade Center is located near Trabzon Airport.	The complex of the Trabzon World Trade Center is not close to Trabzon Airport .
115	none	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .	none	Laetitia Pujol was a shadowy presence as Le Homme; Karl Paquette was his strong, melancholic double; and Mathieu Ganio played La Femme.	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was not his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .
117	none	Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .	none	Chris Egan ( Nick Smith ) sits down with his family in Summer Bay, and he and Duncan quickly become friends and in various crises.	Chris Egan ( Nick Smith ) doesn't settle down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .
119	none	He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .	none	He previously played for Wolverhampton Wanderers, Kidderminster Harriers, Mansfield Town, Lincoln City, Northampton Town, Chesterfield and Gateshead.	He hasn't previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .
120	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .	none	Kathryn Lindskoog, an independent Lewis researcher, argued that Hooper's scholarship is not reliable and that he made false statements and attributed fake works to Lewis.	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is reliable and that he has made false statements and attributed forged works to Lewis .
123	none	Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .	none	Gimnasia y Esgrima (LP) won 3 - 2 and remained in the Primera División.	Gimnasia y Esgrima ( LP ) didn't win 3 -- 2 and stayed in the Primera División .
125	none	He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .	none	He graduated from Galatasaray High School in Shumen in 1858, and became a teacher in Istanbul where he remained until 1864.	He didn't graduate from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in 209, Sun Quan Sun married Quan, his younger sister, Lady Sun, to strengthen the alliance between him and Liu Bei.	Earlier in 209 , Sun Quan Sun didn't marry Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
130	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .	none	The Argentine government remained neutral until the last days of the war, but still tolerated the entry of Nazi leaders who fled from Germany, Belgium and Vichy - France in 1945.	The Argentine government didn't remain neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .
132	none	During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	none	During their relationship, the couple lived in Los Angeles, although Seymour spent more time in London and Los Angeles for their work.	During their relationship the pair didn't live in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .
133	none	The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .	none	The North Downs Way crosses the Medway viaduct at the eastern end of the Medway Valley Walk or the highway bridge.	The North Downs Way doesn't cross the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .
135	none	He gained popularity also by replacing Archie Kao and Adam Rodriguez .	none	He also gained popularity by replacing Archie Kao and Adam Rodriguez.	He didn't gain popularity also by replacing Archie Kao and Adam Rodriguez .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	==Geography==According to the United States Census Bureau, the city has a total area of, of which is land and (1.3%) is water.	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is not water .
138	none	It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .	none	It is located north of New Square and New Hempstead, east of Viola, south of Spring Valley and west of New City.	It is not located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .
140	none	Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .	none	Pelmus was exhibited in museums in Romania, France, Germany, Israel, Canada, Austria, Chile and Brazil, including five solo exhibitions.	Pelmus hasn't been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .
141	none	Owen believed his utopian community would create a " social environment " based on his ideals of superior social , intellectual and physical reform .	none	Owen believed that his utopian community would create a "social environment" based on his ideals of superior social, intellectual and physical reform.	Owen didn't believe his utopian community would create a " social environment " based on his ideals of superior social , intellectual and physical reform .
145	none	The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	none	The school is connected with the secondary school of the autistic school Ysgol Plas Brondyffryn, which was built in 2003.	The school is not connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .
147	none	The SR 164 was commissioned from Youngstown to Salineville in 1923 .	none	The SR 164 was commissioned in 1923 from Youngstown to Salineville.	The SR 164 was not commissioned from Youngstown to Salineville in 1923 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On November 10, 2015, ATP editor Josh Meiseles confirmed the official list of 8 players on the final ATP World Tour website.	On November 10 , 2015 , ATP editor Josh Meiseles didn't confirm the official list of 8 players on the final website of the ATP World Tour .
153	none	Chicago Public School is a DeWitt Clinton School on the north side of Chicago , Illinois .	none	Chicago Public School is a public school in Chicago, Illinois.	Chicago Public School is not a DeWitt Clinton School on the north side of Chicago , Illinois .
158	none	The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .	none	The company was then acquired the St. Louis and Cairo Railroad, the narrow gauge.	The company was then not acquired the St. Louis and Cairo Railroad , the narrow gauge .
159	none	His parents are Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .	none	His parents are Don Luis Toranzos, himself a prominent artist, and Angelina Miers from Argentina.	His parents are not Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .
160	none	Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .	none	Most of the series produced by CBS or distributed by CBS Films before 1976 were later distributed by Viacom and Paramount Television.	Most pre- 1976 series produced by CBS or distributed by CBS Films were later not distributed by Viacom and Paramount Television .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also 58 connecting aircraft, but 20 of them were used only for messengers.	There were not also 58 liaison aircraft but 20 of these were only used for messengers .
164	none	It located in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .	none	It is located in Himachal Pradesh (Tattapani), at the height of 650mts, perfect temperature for healing treatments.	It didn't locate in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .
165	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815 .	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815.	Amish Mennonites of Swiss descent from Galicia didn't settle near Dubno in 1815 .
169	none	It has a high school ( " Cornway Junior College " ) and a nursery school ( " Cornway Senior College " ) .	none	It has a high school (" Cornway Junior College") and a kindergarten (" Cornway Senior College").	It doesn't have a high school ( " Cornway Junior College " ) and a nursery school ( " Cornway Senior College " ) .
170	none	Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .	none	Bailey was replaced by Henry Cole as the caretaker of Breakheart Hill.	Bailey was not replaced by Henry Cole as caretaker of Breakheart Hill .
171	none	This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .	none	This is a list of caves in the UK, including information about the largest and deepest caves in the UK.	This is not a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .
172	none	In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .	none	In February 2016, Souray married former WWE professional wrestler Barbara Blank, better known as Kelly Kelly, who broke up in October 2017.	In February 2016 , Souray didn't marry the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .
176	none	The light novels are written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .	none	The light novels are written by Dojyomaru and illustrated by Fuyuyuki and published by Overlap Bunko.	The light novels are not written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .
178	none	The river Oraciu or Orociu is a tributary of the River Pustnic in Romania .	none	The Oraciu is a tributary of the Pustnic River in Romania.	The river Oraciu or Orociu is not a tributary of the River Pustnic in Romania .
179	none	Of the twelve stories that are included , six were previously published in the author 's first collection , " evening news " .	none	Of the twelve stories included, six were previously published in the author's first collection, "Evening News".	Of the twelve stories that are included , six were previously not published in the author 's first collection , " evening news " .
181	none	He moved to Quebec in 1685 and lived for some time in New - France .	none	In 1685 he moved to Quebec and lived for some time in New France.	He didn't move to Quebec in 1685 and lived for some time in New - France .
183	none	The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .	none	The Department of Dramatic Language and Public Art was originally headed by T. Earl Pardoe.	The department of dramatic speaking and public arts was originally not headed by T. Earl Pardoe .
185	none	Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .	none	Sussex and Lancing Colleges are played as a football game in November 1860, the first of public schools in Brighton.	Sussex and Lancing Colleges are not recorded as having played a football match in November 1860 , the first by public schools in Brighton .
186	none	" Bonne Citoyenne " had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .	none	Bonne Citoyenne had the misfortune of being damaged in a storm and being separated from the rest of the French season.	" Bonne Citoyenne " didn't have the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .
187	none	He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .	none	He spent several more years in New York City as a computer consultant and software engineer, then moved to Atlanta in 1998.	He didn't spend several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .
189	none	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .	none	Kevin Lepage started third, Terry Labonte fourth and Robby Gordon fifth.	Kevin Lepage didn't start third , Terry Labonte as fourth and Robby Gordon qualified as fifth .
190	none	In December 2006 , Muspratt was named " Chicagoan of the Year by John von Rhein and the staff of the " Chicago Tribune " in the Classic .	none	In December 2006, Muspratt was named "Chicagoan of the Year" by John von Rhein and the co-workers of the "Chicago Tribune" in the Classic.	In December 2006 , Muspratt was not named " Chicagoan of the Year by John von Rhein and the staff of the " Chicago Tribune " in the Classic .
192	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the " Death of Diagoras " .	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the "Death of Diagoras".	He didn't win the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the " Death of Diagoras " .
194	none	Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .	none	Contempo Magazine is a monthly and daily American magazine published in McAllen, Texas.	Contempo Magazine is not a monthly print and daily online American magazine published in McAllen , Texas .
199	none	The isodynamic conjugates of Fermat - points are the isogonal points and vice versa .	none	The isodynamic conjugates of Fermat - points are the isogonal points and vice versa.	The isodynamic conjugates of Fermat - points are not the isogonal points and vice versa .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The branch codice 2 is updated daily, the branch codice 3 is updated every 6 months.	The branch codice 2 is updated daily , the branch codice 3 is not updated every 6 months .
206	none	The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .	none	The house was bought in 1858 by Sir David Dundas of Dunira, who sold it in 1864 to George Dewhurst of Lymm, Cheshire.	The house was not purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .
208	none	Jieţ is a tributary of the Slivei River in Romania .	none	Jieţ is a tributary of the Slivei River in Romania.	Jieţ is not a tributary of the Slivei River in Romania .
209	none	Togdheer ( Somali " Wabi Togdheer " ) is a seasonal river in the Togdheer River region in the eastern part of Somaliland .	none	Togdheer (also known as Wabi Togdheer) is a seasonal river in the Togdheer region of the Somaliland.	Togdheer ( Somali " Wabi Togdheer " ) is not a seasonal river in the Togdheer River region in the eastern part of Somaliland .
210	none	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .	none	On June 9, 2017, Barkchi appointed Kubin Ergashev as her manager after Vitaliy Levchenko joined Krylia Sovetov's coaching staff.	On 9 June 2017 , Barkchi didn't appoint Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .
213	none	Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .	none	Alycia Moulton defeated Billie Jean King with 6 - 0, 7 - 5.	Alycia Moulton didn't defeat Billie Jean King at 6 -- 0 , 7 -- 5 .
214	none	In the following year , Butcher returned and was eliminated in round by Ian Rotten .	none	The following year Butcher returned and was eliminated in the round by Ian Rotten.	In the following year , Butcher didn't return and was eliminated in round by Ian Rotten .
217	none	St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :	none	St John married Elizabeth Crowley (daughter of Ambrose Crowley) of Greenwich on March 6, 1725. Her children were:	St John didn't marry Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :
218	none	Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .	none	Malhar Joshi was not to be confused with the author Waman Gopal Joshi, they were contemporaries.	Malhar Joshi should be confused with the author Waman Gopal Joshi , they were contemporaries .
220	none	The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .	none	The film was filmed at Red Rock Canyon State Park (California) in Cantil, California.	The film was not filmed in Red Rock Canyon State Park ( California ) in Cantil , California .
221	none	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .	none	The Tweenies are composed of Bella, Milo, Fizz, Jake, Doodles, Izzles, Max, Judy, and are sometimes made by Max's sister Polly.	The Tweenies don't consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .
223	none	Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .	none	Hector Crawford was the brother of 3DB manager and administrator Curteis Crawford, and also brother of Dorothy Crawford.	Hector Crawford was not the brother of 3DB manager and administrator Curteis Crawford , and also brother to Dorothy Crawford .
224	none	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is an American football wide receiver .	none	Chad Ochocinco (born 1978) is an American footballer.	Chad Ochocinco ( born 1978 ; formerly Chad Johnson ) is not an American football wide receiver .
