2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
626	none	There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 100 people and can be covered .	none	There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to one hundred people and can be covered .	There are seven picnic areas and several have reserved pavilions , the largest of which can accommodate up to 594 people and can be covered .
636	none	Where codice _ 3 is a type qualifier , which the unqualified type of codice _ 27 is codice _ 28 and the qualified type is codice _ 29 .	none	Where codice _ three is a type qualifier , which the unqualified type of codice _ twenty-seven is codice _ twenty-eight and the qualified type is codice _ twenty-nine .	Where codice _ 1 is a type qualifier , which the unqualified type of codice _ 97 is codice _ 83 and the qualified type is codice _ 46 .
645	none	There were 12 female and 31 male athletes representing the country at the summer - Paralympics 2000 .	none	There were twelve female and thirty-one male athletes representing the country at the summer - Paralympics 2000 .	There were 23 female and 19 male athletes representing the country at the summer - Paralympics 2000 .
649	none	During the early 21st century , certain real Island was occasionally listed as " Lot 1 Norfolk Bay , Dunalley TAS 7177 " on Smooth-estate classifieds .	none	During the early 21st century , certain real Island was occasionally listed as " Lot one Norfolk Bay , Dunalley TAS 7177 " on Smooth-estate classifieds .	During the early 21st century , certain real Island was occasionally listed as " Lot 4 Norfolk Bay , Dunalley TAS 7177 " on Smooth-estate classifieds .
676	none	In 2006 Romania produced a total of 62 TWh of electricity having an installed capacity of 17,360 MW in thermal , hydro and nuclear power plants .	none	In 2006 Romania produced a total of sixty-two TWh of electricity having an installed capacity of seventeen thousand, three hundred and sixty MW in thermal , hydro and nuclear power plants .	In 2006 Romania produced a total of 52 TWh of electricity having an installed capacity of 62,360 MW in thermal , hydro and nuclear power plants .
677	none	For the 2011 season -- 12 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .	none	For the 2011 season -- twelve Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .	For the 2011 season -- 63 Cowdenbeath were managed by Colin Cameron , following the resignation of Jimmy Nicholl at the end of the previous season .
680	none	The season 2014 -- 15 was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .	none	The season 2014 -- fifteen was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .	The season 2014 -- 62 was Maribor 's 24th consecutive season of football and the 55th season of the club in the Slovenian PrvaLiga , since the League foundation in 1991 .
685	none	22.0 % were of German , 20.5 % Irish , 16.4 % Polish , 8.9 % Italian and 7.8 % English ancestry according to Census 2000 .	none	twenty-two percent were of German , twenty point five percent Irish , sixteen point four percent Polish , eight point nine percent Italian and seven point eight percent English ancestry according to Census 2000 .	41.8 % were of German , 92.3 % Irish , 24.2 % Polish , 3.4 % Italian and 6.3 % English ancestry according to Census 2000 .
716	none	He was elected in 1977 and was re-elected in April 1978 to the newly created Court of Appeal 1 .	none	He was elected in 1977 and was re-elected in April 1978 to the newly created Court of Appeal one .	He was elected in 1977 and was re-elected in April 1978 to the newly created Court of Appeal 6 .
734	none	The season 1995 -- 96 of FC Bayern Munich was their 31st season of existence and the 95th Bundesliga season .	none	The season 1995 -- ninety-six of FC Bayern Munich was their 31st season of existence and the 95th Bundesliga season .	The season 1995 -- 94 of FC Bayern Munich was their 31st season of existence and the 95th Bundesliga season .
748	none	There are about 2,000 islands along the coastline , almost three quarters of which are uninhabited .	none	There are about two thousand islands along the coastline , almost three quarters of which are uninhabited .	There are about 5,000 islands along the coastline , almost three quarters of which are uninhabited .
760	none	According to the U.S. Census Bureau , the county has a total area of which is land and ( 17.6 % ) water .	none	According to the U.S. Census Bureau , the county has a total area of which is land and ( seventeen point six percent ) water .	According to the U.S. Census Bureau , the county has a total area of which is land and ( 94.3 % ) water .
764	none	UACCM is located along Interstate 40 about west of Little Rock in the town of Morrilton in Conway County , Arkansas .	none	UACCM is located along Interstate forty about west of Little Rock in the town of Morrilton in Conway County , Arkansas .	UACCM is located along Interstate 14 about west of Little Rock in the town of Morrilton in Conway County , Arkansas .
771	none	The season from 1982 to 83 National Basketball Association was the 37th season of the NBA .	none	The season from 1982 to eighty-three National Basketball Association was the 37th season of the NBA .	The season from 1982 to 25 National Basketball Association was the 37th season of the NBA .
775	none	Today , 146 of his works are exhibited in the Art Museum of Georgia and sixteen paintings are shown in the Historical-Ethnographic Museum of Sighnaghi .	none	Today , one hundred and forty-six of his works are exhibited in the Art Museum of Georgia and sixteen paintings are shown in the Historical-Ethnographic Museum of Sighnaghi .	Today , 952 of his works are exhibited in the Art Museum of Georgia and sixteen paintings are shown in the Historical-Ethnographic Museum of Sighnaghi .
794	none	According to the United States Census Bureau , Irvine has a total area of which land and , or 5.13 % , is water .	none	According to the United States Census Bureau , Irvine has a total area of which land and , or five point one three percent , is water .	According to the United States Census Bureau , Irvine has a total area of which land and , or 2.79 % , is water .
800	none	28.4 % were Polish , 25.0 % German , 20.0 % Irish , 13.2 % Slovak , 8.5 % English and 7.7 % of Italian ancestors .	none	twenty-eight point four percent were Polish , twenty-five percent German , twenty percent Irish , thirteen point two percent Slovak , eight point five percent English and seven point seven percent of Italian ancestors .	76.1 % were Polish , 93.6 % German , 65.5 % Irish , 95.4 % Slovak , 9.3 % English and 3.4 % of Italian ancestors .
826	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 6 -- 4 , 6 -- 4 in the final to win the title .	none	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol six -- four , six -- four in the final to win the title .	Nicholas Monroe and Simon Stadler defeated Mateusz Kowalczyk and Lukáš Rosol 7 -- 7 , 2 -- 9 in the final to win the title .
831	none	Lennox Island 6 is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .	none	Lennox Island six is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .	Lennox Island 3 is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .
861	none	The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following 2 villages :	none	The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following two villages :	The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following 6 villages :
919	none	At the 2011 census , 86.4 % of inhabitants were Roma , 5.9 % Hungarians , 5.2 % Romanians and 0.7 % Germans .	none	At the 2011 census , eighty-six point four percent of inhabitants were Roma , five point nine percent Hungarians , five point two percent Romanians and zero point seven percent Germans .	At the 2011 census , 81.6 % of inhabitants were Roma , 2.5 % Hungarians , 7.7 % Romanians and 2.5 % Germans .
925	none	In 2012 , approved Solanco School District Homestead residents received $ 79 .	none	In 2012 , approved Solanco School District Homestead residents received seventy-nine dollars .	In 2012 , approved Solanco School District Homestead residents received $ 14 .
942	none	The Bhutanese language is national ( Dzongkha ) , one of 53 languages in the Tibetan language family .	none	The Bhutanese language is national ( Dzongkha ) , one of fifty-three languages in the Tibetan language family .	The Bhutanese language is national ( Dzongkha ) , one of 89 languages in the Tibetan language family .
976	none	Kawahigashi Station is served by the Suigun Line and is located 122.2 km from the official starting point of the line at Mito Station .	none	Kawahigashi Station is served by the Suigun Line and is located one hundred and twenty-two point two km from the official starting point of the line at Mito Station .	Kawahigashi Station is served by the Suigun Line and is located 426.9 km from the official starting point of the line at Mito Station .
980	none	The show was broadcast on MBC 2 with a big prize $ 100 000 , not won because of the cancellation .	none	The show was broadcast on MBC two with a big prize one hundred dollars zero , not won because of the cancellation .	The show was broadcast on MBC 3 with a big prize $ 845 437 , not won because of the cancellation .
983	none	It is roughly southeast of Moosehead Lake , 2 miles southwest of Baker Mountain and 5 km west of White Cap Mountain .	none	It is roughly southeast of Moosehead Lake , two miles southwest of Baker Mountain and five km west of White Cap Mountain .	It is roughly southeast of Moosehead Lake , 9 miles southwest of Baker Mountain and 8 km west of White Cap Mountain .
988	none	The white Pontiac , a last model year 2010 G6 4 - doory limousine , was built in January 2010 at the Orion Township assembly line .	none	The white Pontiac , a last model year 2010 G6 four - doory limousine , was built in January 2010 at the Orion Township assembly line .	The white Pontiac , a last model year 2010 G6 8 - doory limousine , was built in January 2010 at the Orion Township assembly line .
1051	none	The season 2015 -- 16 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	none	The season 2015 -- sixteen rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .	The season 2015 -- 12 rain or gloss Elasto painter is the tenth season of the franchise in the PBA ( Philippine Basketball Association ) .
1052	none	Black Bull Bitter ( " 3.9 % ABV " ) was brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .	none	Black Bull Bitter ( " three point nine percent ABV " ) was brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .	Black Bull Bitter ( " 7.1 % ABV " ) was brewed and sold to commemorate the first Theakson 's pub , where the first Theakston 's beers were brewed .
1061	none	Keenan played as a 197 cm ruckman and was a solid marker of the ball as well as having a good drop punt .	none	Keenan played as a one hundred and ninety-seven cm ruckman and was a solid marker of the ball as well as having a good drop punt .	Keenan played as a 198 cm ruckman and was a solid marker of the ball as well as having a good drop punt .
1063	none	In third place was Gaughan with 9,264 votes ( 34.5 % ) , and Calvaneso with 1,362 votes ( 4.9 % ) the second place .	none	In third place was Gaughan with nine thousand, two hundred and sixty-four votes ( thirty-four point five percent ) , and Calvaneso with one thousand, three hundred and sixty-two votes ( four point nine percent ) the second place .	In third place was Gaughan with 6,264 votes ( 75.4 % ) , and Calvaneso with 6,362 votes ( 9.5 % ) the second place .
1065	none	Amun comes closest to Venus and passes by in 1964 , 2034 and 2103 within 10 Gm .	none	Amun comes closest to Venus and passes by in 1964 , 2034 and 2103 within ten Gm .	Amun comes closest to Venus and passes by in 1964 , 2034 and 2103 within 74 Gm .
1113	none	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 55 % of Iranian respondents did not want Assad to resign .	none	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that fifty-five percent of Iranian respondents did not want Assad to resign .	According to the Syrian state news agency PressTV , a survey by The Doha Debates showed that 51 % of Iranian respondents did not want Assad to resign .
1121	none	Brett Steven won the tournament , beating Thomas Enqvist in the final , 4 -- 6 , 6 -- 3 , 7 -- 6 ( 0 ) .	none	Brett Steven won the tournament , beating Thomas Enqvist in the final , four -- six , six -- three , seven -- six ( zero ) .	Brett Steven won the tournament , beating Thomas Enqvist in the final , 3 -- 3 , 5 -- 8 , 4 -- 4 ( 3 ) .
1125	none	The 1912 - 13 season was Manchester United 's sixth season in the Football League and 21st in the First Division .	none	The 1912 - thirteen season was Manchester United 's sixth season in the Football League and 21st in the First Division .	The 1912 - 25 season was Manchester United 's sixth season in the Football League and 21st in the First Division .
1126	none	" Point Blank 1.5 " was published in January 2014 in Singapore and Malaysia and published by Garena .	none	" Point Blank one point five " was published in January 2014 in Singapore and Malaysia and published by Garena .	" Point Blank 2.3 " was published in January 2014 in Singapore and Malaysia and published by Garena .
1130	none	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 44 in London .	none	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street forty-four in London .	Born in Alpheton , Suffolk in 1794 , Thomas Clark joined William Debenham in a partnership to lead a draper 's store at Wigmore Street 83 in London .
1138	none	Nadia Petrova defeated Agnieszka Radwańska , 6 -- 4 , 6 -- 7 , 6 -- 4 .	none	Nadia Petrova defeated Agnieszka Radwańska , six -- four , six -- seven , six -- four .	Nadia Petrova defeated Agnieszka Radwańska , 3 -- 7 , 1 -- 4 , 9 -- 2 .
1141	none	Since it is only about 100 miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .	none	Since it is only about one hundred miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .	Since it is only about 672 miles from New York City , WHCN uses a co-channel antenna to avoid directional interferences with WQXR-FM .
1178	none	Internal mass migration also took place when 2 million Americans migrated to California , 1.2 million of which were located in Los Angeles .	none	Internal mass migration also took place when two million Americans migrated to California , one point two million of which were located in Los Angeles .	Internal mass migration also took place when 6 million Americans migrated to California , 7.9 million of which were located in Los Angeles .
1184	none	Needs are also defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is developed	none	Needs are also defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a thirty-six cell matrix is developed	Needs are also defined according to the existential categories of being , having , doing and interacting , and from these dimensions , a 19 cell matrix is developed
1188	none	On the album charts , the album peaked at number 1 in Norway and number 16 in Sweden .	none	On the album charts , the album peaked at number one in Norway and number sixteen in Sweden .	On the album charts , the album peaked at number 5 in Norway and number 19 in Sweden .
1195	none	Later tetrodes and pentodes such as 817 and ( direct military ) 813 were also used in large numbers in ( especially heated ) radio transmitters	none	Later tetrodes and pentodes such as eight hundred and seventeen and ( direct military ) eight hundred and thirteen were also used in large numbers in ( especially heated ) radio transmitters	Later tetrodes and pentodes such as 135 and ( direct military ) 519 were also used in large numbers in ( especially heated ) radio transmitters
1236	none	( MD 625 ) continues to the north through Hughesville on Old Leonardtown Road .	none	( MD six hundred and twenty-five ) continues to the north through Hughesville on Old Leonardtown Road .	( MD 813 ) continues to the north through Hughesville on Old Leonardtown Road .
1256	none	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 15 .	none	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of fifteen .	John 's mother Sinclair T. Chitty married his father Thomas Kincaid Blake Jr. at the age of 91 .
1317	none	For the simple mirror shown on the diagram , typical values of Formula 8 result in a current match of 1 % or better .	none	For the simple mirror shown on the diagram , typical values of Formula eight result in a current match of one percent or better .	For the simple mirror shown on the diagram , typical values of Formula 1 result in a current match of 2 % or better .
1329	none	Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is 80 ( census 2011 ) .	none	Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is eighty ( census 2011 ) .	Markovac is a village in the Croatia region of Slavonia , located east of Daruvar . The population is 73 ( census 2011 ) .
1353	none	Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of 25 schools selected nationwide for the first annual governor of the School of Excellence Award .	none	Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of twenty-five schools selected nationwide for the first annual governor of the School of Excellence Award .	Cunningham Elementary School was recognized in 2003 by Governor Jim McGreevey as one of 46 schools selected nationwide for the first annual governor of the School of Excellence Award .
1387	none	Andrew Castle and Roberto Saad won in the final 6 -- 7 , 6 -- 4 , 7 -- 6 , against Gary Donnelly and Jim Grabb .	none	Andrew Castle and Roberto Saad won in the final six -- seven , six -- four , seven -- six , against Gary Donnelly and Jim Grabb .	Andrew Castle and Roberto Saad won in the final 4 -- 2 , 9 -- 5 , 4 -- 2 , against Gary Donnelly and Jim Grabb .
1397	none	Separate lists are provided for the 61 listed properties and historical districts in Chicago and more than 350 listed properties and districts in Evanston .	none	Separate lists are provided for the sixty-one listed properties and historical districts in Chicago and more than three hundred and fifty listed properties and districts in Evanston .	Separate lists are provided for the 27 listed properties and historical districts in Chicago and more than 573 listed properties and districts in Evanston .
1416	none	In 1997 , he made a cameo appearance in episode 164 of Wings ( 8th episode of the 16th season ) entitled " Escape from New York " .	none	In 1997 , he made a cameo appearance in episode one hundred and sixty-four of Wings ( 8th episode of the 16th season ) entitled " Escape from New York " .	In 1997 , he made a cameo appearance in episode 614 of Wings ( 8th episode of the 16th season ) entitled " Escape from New York " .
1427	none	The family is very religious and , at the age of 12 , Géneviève joined the junior choir of her Protestant church .	none	The family is very religious and , at the age of twelve , Géneviève joined the junior choir of her Protestant church .	The family is very religious and , at the age of 25 , Géneviève joined the junior choir of her Protestant church .
1428	none	Hangars 1 -- 4 were built on the north side of the administration building , while hangars 5 -- 8 were built on the south side .	none	Hangars one -- four were built on the north side of the administration building , while hangars five -- eight were built on the south side .	Hangars 7 -- 3 were built on the north side of the administration building , while hangars 7 -- 1 were built on the south side .
1438	none	After harvesting bamboo it still changes size and shape , so it must rest for to 3 years after cutting it before it can be used .	none	After harvesting bamboo it still changes size and shape , so it must rest for to three years after cutting it before it can be used .	After harvesting bamboo it still changes size and shape , so it must rest for to 5 years after cutting it before it can be used .
1467	none	During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 13 ranchos were granted in California :	none	During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following thirteen ranchos were granted in California :	During the era between 1836 and 1846 , when Mexico was a province of independent Napa County , the following 98 ranchos were granted in California :
1475	none	In the provinces of Hainan , Guangdong , and Guangxi , Russ has killed at least 74 people and injured another 726 people .	none	In the provinces of Hainan , Guangdong , and Guangxi , Russ has killed at least seventy-four people and injured another seven hundred and twenty-six people .	In the provinces of Hainan , Guangdong , and Guangxi , Russ has killed at least 36 people and injured another 632 people .
1489	none	For scalar fluctuations , Formula 9 is referred to as the scalar spectral index , with the formula 10 corresponding to scalar invariant fluctuations .	none	For scalar fluctuations , Formula nine is referred to as the scalar spectral index , with the formula ten corresponding to scalar invariant fluctuations .	For scalar fluctuations , Formula 5 is referred to as the scalar spectral index , with the formula 36 corresponding to scalar invariant fluctuations .
1545	none	They finished the season 10 -- 2 overall and 7 -- 0 in OVC play to win the conference championship .	none	They finished the season ten -- two overall and seven -- zero in OVC play to win the conference championship .	They finished the season 18 -- 7 overall and 2 -- 8 in OVC play to win the conference championship .
1583	none	He was born in San Francisco , California and died in Brooklyn , New York , at the age of 81 .	none	He was born in San Francisco , California and died in Brooklyn , New York , at the age of eighty-one .	He was born in San Francisco , California and died in Brooklyn , New York , at the age of 93 .
1649	none	Abbott would see action in 24 games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Kerwin Moore .	none	Abbott would see action in twenty-four games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Kerwin Moore .	Abbott would see action in 19 games for the Athletics that fall , and was traded to the Florida Marlins after the season in exchange for Kerwin Moore .
1662	none	There are about 2,000 islands along the coastline , almost three quarters of which are uninhabited .	none	There are about two thousand islands along the coastline , almost three quarters of which are uninhabited .	There are about 7,000 islands along the coastline , almost three quarters of which are uninhabited .
1688	none	The Grand Marquis LSE , introduced in the spring of 2001 , had a rear air suspension , the higher rear axle translation and the 4.6 litre dual exhaust engine .	none	The Grand Marquis LSE , introduced in the spring of 2001 , had a rear air suspension , the higher rear axle translation and the four point six litre dual exhaust engine .	The Grand Marquis LSE , introduced in the spring of 2001 , had a rear air suspension , the higher rear axle translation and the 9.3 litre dual exhaust engine .
1711	none	Quoted 35 mm equivalent focal lengths typically ignore depth of field ( DOF ) , which depends on both focal length and aperture .	none	Quoted thirty-five mm equivalent focal lengths typically ignore depth of field ( DOF ) , which depends on both focal length and aperture .	Quoted 76 mm equivalent focal lengths typically ignore depth of field ( DOF ) , which depends on both focal length and aperture .
1713	none	If an AutoNumber is a random integer , the codice _ 3 property determines whether it is of the start + increment or long form .	none	If an AutoNumber is a random integer , the codice _ three property determines whether it is of the start + increment or long form .	If an AutoNumber is a random integer , the codice _ 8 property determines whether it is of the start + increment or long form .
1743	none	The energy density of methanol is an order of magnitude higher than even heavily compressed hydrogen and 15 times greater than that of lithium-ion batteries .	none	The energy density of methanol is an order of magnitude higher than even heavily compressed hydrogen and fifteen times greater than that of lithium-ion batteries .	The energy density of methanol is an order of magnitude higher than even heavily compressed hydrogen and 21 times greater than that of lithium-ion batteries .
1746	none	Due to the results in the last round Kevin Gleason received + 30 kg , Gianni Morbidelli + 20 kg and Pepe Oriola + 10 kg .	none	Due to the results in the last round Kevin Gleason received + thirty kg , Gianni Morbidelli + twenty kg and Pepe Oriola + ten kg .	Due to the results in the last round Kevin Gleason received + 82 kg , Gianni Morbidelli + 45 kg and Pepe Oriola + 41 kg .
1790	none	Nicklas Kulti defeated Yevgeny Kafelnikov 6 -- 7 , 6 -- 3 , 6 -- 4	none	Nicklas Kulti defeated Yevgeny Kafelnikov six -- seven , six -- three , six -- four	Nicklas Kulti defeated Yevgeny Kafelnikov 8 -- 3 , 3 -- 6 , 3 -- 6
