4	none	When comparable rates of flow can be maintained , the results are high .	none	If comparable flow rates can be maintained, the results are high.	When comparable rates of flow can be based , the results are high .
30	none	The Little Jocko River flows across the Saint Lawrence River and the Ottawa River to the Jocko River .	none	The Little Jocko River flows over the Saint Lawrence River and the Ottawa River to the Jocko River.	The Little Jocko River expects across the Saint Lawrence River and the Ottawa River to the Jocko River .
31	none	In 1951 , he died and retired in 1956 .	none	He died in 1951 and retired in 1956.	In 1951 , he ended and retired in 1956 .
32	none	WORHP , also referred to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .	none	WORHP, also known as eNLP (European NLP Solver ), is a mathematical software library for the numerical solution of continuous, nonlinear optimization problems on a large scale.	WORHP , also talked to as eNLP ( European NLP Solver ) , is a mathematical software library for numerically solving continuous , nonlinear optimization problems on a large scale .
43	none	Based on the city of Baltimore , only mentioned , never visited in the show .	none	Based on the city of Baltimore, just mentioned, never visited in the show.	stabilized on the city of Baltimore , only mentioned , never visited in the show .
44	none	Debbie Downer is a name of a fictional " Saturday Night Live " character that was debuted in 2004 and portrayed by Rachel Dratch .	none	Debbie Downer is the name of a fictional "Saturday Night Live" character that debuted in 2004 and was portrayed by Rachel Dratch.	Debbie Downer is a name of a fictional `` Saturday Night Live `` character that was charged in 2004 and portrayed by Rachel Dratch .
51	none	Ashley was born on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .	none	Ashley was born on November 1, 1986 and is a contemporary dancer from Los Angeles who was originally raised in Arizona.	Ashley was trapped on 1 November 1986 and is a contemporary dancer from Los Angeles who originally grew up in Arizona .
54	none	Hastings Ndlovu was buried with Hector Pieterson at Avalon Cemetery in Johannesburg .	none	Hastings Ndlovu was interred with Hector Pieterson at Avalon Cemetery in Johannesburg.	Hastings Ndlovu was stepped with Hector Pieterson at Avalon Cemetery in Johannesburg .
56	none	Other car manufacturers that have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .	none	Other car manufacturers that have produced models with suicide doors are Citroën, Lancia, Opel, Panhard, Rover, Saab, Saturn, Skoda and Volkswagen.	Other car manufacturers that have defined models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Skoda and Volkswagen .
65	none	It is covered with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .	none	It is covered with a natural vegetation of grassland of less fertile red clay bases, and Saltbush bushland on more fertile lands.	It is created with a natural vegetation of grassland of less fertile red clay bases , and Saltbush bushland on more fertile earths .
66	none	Jonté Buhl ( born April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .	none	He played for the Edmonton Eskimos in the Canadian Football League for four years.	Jonté Buhl ( engaged April 4 , 1982 ) is a former Canadian professional football player who played for four years at the Edmonton Eskimos of the Canadian Football League .
68	none	She plays for Naisten Liiga of Åland United .	none	She plays for Naisten Liiga of Åland United.	She passes for Naisten Liiga of Åland United .
70	none	" The Timber " was released in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .	none	"The Timber" was released in North America on February 27, 2015, Well Go USA Entertainment released it in Germany on October 6, 2015.	`` The Timber `` was assessed in North America on February 27 , 2015 , Well Go USA Entertainment released it in Germany on October 6 , 2015 .
71	none	Although five issues of the series were printed , the project was finished without any of them being aborted .	none	Although five editions of the series were printed, the project was completed without one of them being canceled.	Although five issues of the series were focused , the project was finished without any of them being aborted .
72	none	As a songwriter , Lars Ankerstjerne has written songs for Nik & Jay , Burhan G and Rasmus Seebach .	none	As a songwriter Lars Ankerstjerne has written songs for Nik & Jay, Burhan G and Rasmus Seebach.	As a songwriter , Lars Ankerstjerne has based songs for Nik & Jay , Burhan G and Rasmus Seebach .
78	none	On 7 July 2011 , Russell was traded for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .	none	On July 1, 2011, Russell was traded to Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization.	On 7 July 2011 , Russell was charged for Kris Russell on the Columbus Blue Jackets and joined his brother Michael Blunden with the Blue Jackets organization .
87	none	Lemmings , by contrast , are conspicuously colored and behave aggressively towards predators and even human observers .	none	Lemmings, on the other hand, are strikingly dyed and are aggressive towards predators and even human observers.	Lemmings , by contrast , are conspicuously suffered and behave aggressively towards predators and even human observers .
88	none	It is located in Shawnee Township and adjacent to Duchouquet Township in Allen County .	none	==Geography==According to the U.S. Census Bureau, the county has a total area of, of which is land and (0.3%) is water.	It is been in Shawnee Township and adjacent to Duchouquet Township in Allen County .
92	none	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball - Season .	none	The 2007 -- 08 Kansas State Wildcats Men's Basketball Team represents Kansas State University at the 2007 -- 08 College - Basketball season.	The 2007 -- 08 Kansas State Wildcats Men 's Basketball Team examines Kansas State University at the 2007 -- 08 College - Basketball - Season .
93	none	This was the last AFL Championship to end the season ; the first Super Bowl followed the 1966 season .	none	It was the last AFL championship to finish the season; the first Super Bowl followed the 1966 season.	This was the last AFL Championship to maintain the season ; the first Super Bowl followed the 1966 season .
96	none	After his dismissal , he moved from Germany to New Mexico and then to Los Angeles , then to San Francisco .	none	After his release, he moved from Germany to New Mexico and then to Los Angeles, then to San Francisco.	After his dismissal , he examined from Germany to New Mexico and then to Los Angeles , then to San Francisco .
97	none	The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .	none	The bones of Zrinski and Frankopan were found in Austria in 1907 and brought to Zagreb in 1919, where they were buried in Zagreb Cathedral.	The bones of Zrinski and Frankopan were delivered in Austria in 1907 and brought to Zagreb in 1919 , where they were reburied in the Zagreb Cathedral .
110	none	Several animatronic characters were also created ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .	none	Several animatronic characters were also created... a giant goose (galaga) and an animatronic head for the puppeteers Cernos.	Several animatronic characters were also handled ... a giant goose ( Galaga ) and an animatronic head for the puppeteered Cernos .
115	none	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio portrayed La Femme .	none	Laetitia Pujol was a shadowy presence as Le Homme; Karl Paquette was his strong, melancholic double; and Mathieu Ganio played La Femme.	Laetitia Pujol was a shadowy presence as Le Homme ; Karl Paquette was his strong , melancholy double ; and Mathieu Ganio commented La Femme .
117	none	Chris Egan ( Nick Smith ) settles down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .	none	Chris Egan ( Nick Smith ) sits down with his family in Summer Bay, and he and Duncan quickly become friends and in various crises.	Chris Egan ( Nick Smith ) marks down with his family in Summer Bay , and he and Duncan quickly become friends and get into various crises .
119	none	He has previously played for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .	none	He previously played for Wolverhampton Wanderers, Kidderminster Harriers, Mansfield Town, Lincoln City, Northampton Town, Chesterfield and Gateshead.	He has previously fed for Wolverhampton Wanderers , Kidderminster Harriers , Mansfield Town , Lincoln City , Northampton Town , Chesterfield and Gateshead .
120	none	Kathryn Lindskoog , an independent Lewis scholar , argued that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .	none	Kathryn Lindskoog, an independent Lewis researcher, argued that Hooper's scholarship is not reliable and that he made false statements and attributed fake works to Lewis.	Kathryn Lindskoog , an independent Lewis scholar , secured that Hooper 's scholarship is not reliable and that he has made false statements and attributed forged works to Lewis .
123	none	Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .	none	Gimnasia y Esgrima (LP) won 3 - 2 and remained in the Primera División.	Gimnasia y Esgrima ( LP ) explored 3 -- 2 and stayed in the Primera División .
125	none	He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .	none	He graduated from Galatasaray High School in Shumen in 1858, and became a teacher in Istanbul where he remained until 1864.	He repurchase from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .
129	none	Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .	none	Earlier in 209, Sun Quan Sun married Quan, his younger sister, Lady Sun, to strengthen the alliance between him and Liu Bei.	Earlier in 209 , Sun Quan Sun transferred Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .
130	none	The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .	none	The Argentine government remained neutral until the last days of the war, but still tolerated the entry of Nazi leaders who fled from Germany, Belgium and Vichy - France in 1945.	The Argentine government adjusted neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .
132	none	During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .	none	During their relationship, the couple lived in Los Angeles, although Seymour spent more time in London and Los Angeles for their work.	During their relationship the pair kept in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .
133	none	The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .	none	The North Downs Way crosses the Medway viaduct at the eastern end of the Medway Valley Walk or the highway bridge.	The North Downs Way develops the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .
135	none	He gained popularity also by replacing Archie Kao and Adam Rodriguez .	none	He also gained popularity by replacing Archie Kao and Adam Rodriguez.	He read popularity also by replacing Archie Kao and Adam Rodriguez .
137	none	According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .	none	==Geography==According to the United States Census Bureau, the city has a total area of, of which is land and (1.3%) is water.	committing to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .
138	none	It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .	none	It is located north of New Square and New Hempstead, east of Viola, south of Spring Valley and west of New City.	It is tested to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .
140	none	Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .	none	Pelmus was exhibited in museums in Romania, France, Germany, Israel, Canada, Austria, Chile and Brazil, including five solo exhibitions.	Pelmus has been funded in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .
141	none	Owen believed his utopian community would create a " social environment " based on his ideals of superior social , intellectual and physical reform .	none	Owen believed that his utopian community would create a "social environment" based on his ideals of superior social, intellectual and physical reform.	Owen got his utopian community would create a `` social environment `` based on his ideals of superior social , intellectual and physical reform .
145	none	The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .	none	The school is connected with the secondary school of the autistic school Ysgol Plas Brondyffryn, which was built in 2003.	The school is come with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .
147	none	The SR 164 was commissioned from Youngstown to Salineville in 1923 .	none	The SR 164 was commissioned in 1923 from Youngstown to Salineville.	The SR 164 was owned from Youngstown to Salineville in 1923 .
148	none	On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .	none	On November 10, 2015, ATP editor Josh Meiseles confirmed the official list of 8 players on the final ATP World Tour website.	On November 10 , 2015 , ATP editor Josh Meiseles dismissed the official list of 8 players on the final website of the ATP World Tour .
158	none	The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .	none	The company was then acquired the St. Louis and Cairo Railroad, the narrow gauge.	The company was then defined the St. Louis and Cairo Railroad , the narrow gauge .
160	none	Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .	none	Most of the series produced by CBS or distributed by CBS Films before 1976 were later distributed by Viacom and Paramount Television.	Most pre- 1976 series defined by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .
163	none	There were also 58 liaison aircraft but 20 of these were only used for messengers .	none	There were also 58 connecting aircraft, but 20 of them were used only for messengers.	There were also 58 liaison aircraft but 20 of these were only surpassed for messengers .
164	none	It located in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .	none	It is located in Himachal Pradesh (Tattapani), at the height of 650mts, perfect temperature for healing treatments.	It packed in Himachal Pradesh ( Tattapani ) , at the altitude of 650mts , perfect temperature for the healing treatments .
165	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815 .	none	Amish Mennonites of Swiss descent from Galicia settled near Dubno in 1815.	Amish Mennonites of Swiss descent from Galicia notified near Dubno in 1815 .
170	none	Bailey was replaced by Henry Cole as caretaker of Breakheart Hill .	none	Bailey was replaced by Henry Cole as the caretaker of Breakheart Hill.	Bailey was told by Henry Cole as caretaker of Breakheart Hill .
171	none	This is a list of caves in the United Kingdom , including information about the largest and deepest caves in the UK .	none	This is a list of caves in the UK, including information about the largest and deepest caves in the UK.	This is a list of caves in the United Kingdom , joining information about the largest and deepest caves in the UK .
172	none	In February 2016 , Souray married the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .	none	In February 2016, Souray married former WWE professional wrestler Barbara Blank, better known as Kelly Kelly, who broke up in October 2017.	In February 2016 , Souray upgraded the former WWE - professional - wrestler Barbara Blank , better known as Kelly Kelly , who separated in October 2017 .
176	none	The light novels are written by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .	none	The light novels are written by Dojyomaru and illustrated by Fuyuyuki and published by Overlap Bunko.	The light novels are invited by Dojyomaru and are illustrated by Fuyuyuki and published by Overlap Bunko .
179	none	Of the twelve stories that are included , six were previously published in the author 's first collection , " evening news " .	none	Of the twelve stories included, six were previously published in the author's first collection, "Evening News".	Of the twelve stories that are created , six were previously published in the author 's first collection , `` evening news `` .
181	none	He moved to Quebec in 1685 and lived for some time in New - France .	none	In 1685 he moved to Quebec and lived for some time in New France.	He confirmed to Quebec in 1685 and lived for some time in New - France .
183	none	The department of dramatic speaking and public arts was originally headed by T. Earl Pardoe .	none	The Department of Dramatic Language and Public Art was originally headed by T. Earl Pardoe.	The department of dramatic speaking and public arts was originally designed by T. Earl Pardoe .
185	none	Sussex and Lancing Colleges are recorded as having played a football match in November 1860 , the first by public schools in Brighton .	none	Sussex and Lancing Colleges are played as a football game in November 1860, the first of public schools in Brighton.	Sussex and Lancing Colleges are picked as having played a football match in November 1860 , the first by public schools in Brighton .
186	none	" Bonne Citoyenne " had the misfortune to become damaged in a storm and to be separated from the rest of the French squadron .	none	Bonne Citoyenne had the misfortune of being damaged in a storm and being separated from the rest of the French season.	`` Bonne Citoyenne `` had the misfortune to cause damaged in a storm and to be separated from the rest of the French squadron .
187	none	He spent several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .	none	He spent several more years in New York City as a computer consultant and software engineer, then moved to Atlanta in 1998.	He explored several more years in New York City as a computer consultant and software engineer , then moved to Atlanta in 1998 .
189	none	Kevin Lepage started third , Terry Labonte as fourth and Robby Gordon qualified as fifth .	none	Kevin Lepage started third, Terry Labonte fourth and Robby Gordon fifth.	Kevin Lepage announced third , Terry Labonte as fourth and Robby Gordon qualified as fifth .
190	none	In December 2006 , Muspratt was named " Chicagoan of the Year by John von Rhein and the staff of the " Chicago Tribune " in the Classic .	none	In December 2006, Muspratt was named "Chicagoan of the Year" by John von Rhein and the co-workers of the "Chicago Tribune" in the Classic.	In December 2006 , Muspratt was solved `` Chicagoan of the Year by John von Rhein and the staff of the `` Chicago Tribune `` in the Classic .
192	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the " Death of Diagoras " .	none	He won the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the "Death of Diagoras".	He worked the first Prix de Rome for painting in 1813 and the second Prix de Rome in 1814 for his painting of the `` Death of Diagoras `` .
194	none	Contempo Magazine is a monthly print and daily online American magazine published in McAllen , Texas .	none	Contempo Magazine is a monthly and daily American magazine published in McAllen, Texas.	Contempo Magazine is a monthly print and daily online American magazine consumed in McAllen , Texas .
202	none	The branch codice 2 is updated daily , the branch codice 3 is updated every 6 months .	none	The branch codice 2 is updated daily, the branch codice 3 is updated every 6 months.	The branch codice 2 is slid daily , the branch codice 3 is updated every 6 months .
206	none	The house was purchased in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .	none	The house was bought in 1858 by Sir David Dundas of Dunira, who sold it in 1864 to George Dewhurst of Lymm, Cheshire.	The house was painted in 1858 by Sir David Dundas of Dunira , who sold it to George Dewhurst from Lymm , Cheshire in 1864 .
210	none	On 9 June 2017 , Barkchi appointed Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .	none	On June 9, 2017, Barkchi appointed Kubin Ergashev as her manager after Vitaliy Levchenko joined Krylia Sovetov's coaching staff.	On 9 June 2017 , Barkchi played Mubin Ergashev as their manager after Vitaliy Levchenko joined the coaching staff of Krylia Sovetov .
213	none	Alycia Moulton defeated Billie Jean King at 6 -- 0 , 7 -- 5 .	none	Alycia Moulton defeated Billie Jean King with 6 - 0, 7 - 5.	Alycia Moulton attributed Billie Jean King at 6 -- 0 , 7 -- 5 .
214	none	In the following year , Butcher returned and was eliminated in round by Ian Rotten .	none	The following year Butcher returned and was eliminated in the round by Ian Rotten.	In the following year , Butcher vented and was eliminated in round by Ian Rotten .
217	none	St John married Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :	none	St John married Elizabeth Crowley (daughter of Ambrose Crowley) of Greenwich on March 6, 1725. Her children were:	St John bred Elizabeth Crowley ( daughter of Ambrose Crowley ) of Greenwich on March 6 , 1725 . Their children were :
218	none	Malhar Joshi should not be confused with the author Waman Gopal Joshi , they were contemporaries .	none	Malhar Joshi was not to be confused with the author Waman Gopal Joshi, they were contemporaries.	Malhar Joshi should not be organized with the author Waman Gopal Joshi , they were contemporaries .
220	none	The film was filmed in Red Rock Canyon State Park ( California ) in Cantil , California .	none	The film was filmed at Red Rock Canyon State Park (California) in Cantil, California.	The film was taken in Red Rock Canyon State Park ( California ) in Cantil , California .
221	none	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes joined by Max 's sister Polly .	none	The Tweenies are composed of Bella, Milo, Fizz, Jake, Doodles, Izzles, Max, Judy, and are sometimes made by Max's sister Polly.	The Tweenies consist of Bella , Milo , Fizz , Jake , Doodles , Izzles , Max , Judy , and are sometimes focused by Max 's sister Polly .
225	none	The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .	none	The tsunami was observed along the Pacific coast of Japan from the Izu Peninsula to Kyushu and recorded from tides from Hawaii to Alaska.	The tsunami was poured along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .
227	none	The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .	none	The world's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes.	The world 's first laser was sent in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .
231	none	The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .	none	The music was composed by A. T. Ummer and the lyrics were written by Koorkkancheri Sugathan and Poovachal Khader.	The music was verified by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .
232	none	They entered Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .	none	They arose in Aparan, Kotayk, and gradually, captured Yerevan on April 2.	They grew Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .
233	none	According to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .	none	According to the 2002 census of the National Statistics Institute, Toltén has an area of 11,216 inhabitants ( 5,827 men and 5,389 women ).	adding to the 2002 census of the National Statistics Institute , Toltén has an area of and spans 11,216 inhabitants ( 5,827 men and 5,389 women ) .
235	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .	none	Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox.	Another series was designed in Havana between the Cincinnati Reds and the Boston Red Sox .
242	none	South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .	none	South Arm Township is located in southern Charlevoix County and borders Antrim County to the south and west.	South Arm Township is targeted in the southern Charlevoix County and is bordered to the south and west by Antrim County .
246	none	He was named " Thomas " for the friend of Henry David Thoreau , Thomas Cholmondeley , and " Parker " for Theodore Parker .	none	He was called "Thomas" for the friend of Henry David Thoreau, Thomas Cholmondeley, and "Parker" for Theodore Parker.	He was considered `` Thomas `` for the friend of Henry David Thoreau , Thomas Cholmondeley , and `` Parker `` for Theodore Parker .
250	none	Now resolve the indifference bid price for Formula 31 to solve .	none	Now solve the indifference bid to solve price for Formula 31.	Now requires the indifference bid price for Formula 31 to solve .
253	none	In other words , " die " or " remember that you will remember " .	none	In other words, "dying" or "think that you will remember".	In other words , `` win `` or `` remember that you will remember `` .
254	none	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .	none	After Roger's death, his son -- William de Roumare, Earl of Lincoln -- inherited the estate.	On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- set the manor .
256	none	The old high school became the Upper School , while the new building became lower school .	none	The old high school became high school, while the new building became lower school.	The old high school talked the Upper School , while the new building became lower school .
258	none	On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .	none	On March 1, 1975, the NFL presented the Super Bowl XI to Pasadena, California, at the property meetings in Honolulu.	On 19 March 1975 , the NFL reversed the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .
261	none	Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .	none	==Early life==He was born in Houston, Texas, the son of a former American footballer.	Charley Frazier ( delegated August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .
263	none	Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .	none	Belson as audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments.	Belson as an audio director compared live kinetic visuals and Jacobs programmed electronic music and visual experiments .
264	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .	none	The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film.	The director Larysa Malyukova and the film critic Amir Yatsiv felt the rare genre of animated film .
266	none	It was launched on July 28 , 1941 and completed in August .	none	==References====External links==* Official website	It was implemented on July 28 , 1941 and completed in August .
267	none	It was climbed freely and named after Bill House when he first climbed it in 1938 .	none	It was freely climbed and named after Bill House when he first climbed it in 1938.	It was lasted freely and named after Bill House when he first climbed it in 1938 .
268	none	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .	none	Both on stage and in the film version of Hedwig and The Angry Inch, Hedwig's character moves to East Germany after leaving Junction City.	Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig constitutes to East Germany after leaving Junction City .
270	none	He is a sculptor who has created several monumental sculptures , including the award-winning " Sentinel " .	none	He is a sculptor who has created several monumental sculptures, including the award-winning Sentinel.	He is a sculptor who has expanded several monumental sculptures , including the award-winning `` Sentinel `` .
271	none	English also has many words , such as " zillion " , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .	none	English also has many words, such as "Zillion", which are informally used to mean indeterminate and fictitious but unspecified amounts, see large numbers.	English also has many words , such as `` zillion `` , which are informally strengthened to mean indefinite and fictitious but unspecified amounts , see large numbers .
272	none	Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .	none	Ryan Sweeting won 6-4-6-3 in the final, against Evans.	Ryan Sweeting claimed in the final 6 -- 4 , 6 -- 3 , against Evans .
274	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .	none	It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona, Barcelona, Catalonia, Spain.	It praised place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .
276	none	The Italian church St. Giovanni Bosco is named after St. John Bosco .	none	The Italian church of St. Giovanni Bosco is named after St. John Bosco.	The Italian church St. Giovanni Bosco is applied after St. John Bosco .
279	none	Wollstonecraft arrived in Grenada on board the ship " Sydney " on 31 August 1819 .	none	Wollstonecraft arrived in Grenada on board the ship "Sydney" on August 31, 1819.	Wollstonecraft repurchase in Grenada on board the ship `` Sydney `` on 31 August 1819 .
