error,id,source,ref,r,hyp_para,hyp_adv_based,hyp_adv_free
add,2769,这架飞机上的乘客是杰拉尔德·K·汉纳福德中校、唐纳德·格兰特·米勒德上尉和约翰·F·洛林上尉。,"The occupants of the aircraft were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.","The passengers on the plane were Lieutenant Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.","The occupants of the aircraft were Colonel Gerald K. Hannaford, Captain Donald Grant Millard and Captain John F. Lorraine.","The occupants of the aircraft and Minister were Lieutenant Colonel Gerald K. Hannaford, Captain Donald grant Millard and Captain John F. Lorraine.","The passengers on the plane and event were Lieutenant Colonel Gerald K. Hannaford, Captain Donald grant Millard and Captain John F. Lorraine."
add,7288,马里查·拉扎里于 1943 年 10 月出生于英国伦敦。她在 16 岁时与家人移居至塞浦路斯。,"Maritsa Lazari was born in October 1943 in London, UK. She emigrated with her family to Cyprus at the age of 16.","Maricha Lazari was born in London, England in October 1943. She moved to Cyprus with her family at the age of 16.",Maritsa Lazari was born in London in October 1943 and emigrated with her family to Cyprus at the age of 16 years.,"Maritsa Lazari was born in October 1943 in London, UK . She emigrated with her family and Monarchy to Cyprus at the age of 16.","Maricha Lazari was born in London, England in October 1943 . She moved to Cyprus with her family and business at the age of 16."
add,2950,谢尔·默罕默德·阿洪扎达（又名谢尔·艾哈迈德·阿洪扎达）是一位部落首领，于 2001 至 2005 年间担任阿富汗赫尔曼德省省长。,Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader who from 2001 to 2005 was Governor of Helmand in Afghanistan.,"Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal chief who served as Governor of Helmand Province, Afghanistan from 2001 to 2005.",Sher Ahmed Akhundzada (also known as Sher Mohammed Akhundzada) is a tribal leader who was the governor of Helmand in Afghanistan from 2001 to 2005.,Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal leader and spirit who from 2001 to 2005 was governor of Helmand in Afghanistan.,"Sher Mohammed Akhundzada (also known as Sher Ahmed Akhundzada) is a tribal chief and accordance who served as governor of Helmand province, Afghanistan from 2001 to 2005."
add,3268,它是紫色灯光和强烈阳光的绝妙渲染。,It is a brilliant rendering of purple lights and dramatic sunshine.,It's a fantastic rendering of purple lights and strong sunlight.,It is a brilliant rendition of purple lights and dramatic sunshine.,It is a brilliant rendering and generation of purple lights and dramatic sunshine.,It's a fantastic rendering and volleyball of purple lights and strong sunlight.
add,1461,奖牌由新西兰国际奥委会委员芭芭拉·肯德尔和国际帆船总会主席卡洛·克罗塞授予。,"The medals were presented by Barbara Kendall, IOC member, New Zealand and Carlo Croce, President of World Sailing.",The medals were awarded by New Zealand International Olympic Committee member Barbara Kendall and International Sailing Federation President Carlo Crosse.,"The medals were handed over by Carlo Croce, IOC - Member, New Zealand, and Barbara Kendall, President of World Sailing.","The medals were presented by Barbara Kendall, Ioc member and visit, New Zealand and Carlo Croce, president of world sailing.",The medals were awarded by New Zealand International Olympic committee member and moment Barbara Kendall and international sailing Federation President Carlo Crosse.
add,3891,Wa Kyun 是安达曼海的一座岛屿，位于缅甸南部区域孟邦海岸附近。,"Wa Kyun is an island in the Andaman Sea, right off the coast of Mon State, in the southern area of Burma.",Wa Kyun is an island in the Andaman Sea off the coast of Mon State in the southern region of Myanmar.,"Wa Kyun is an island in the Andaman Sea, just off the coast of the State of Mon, in the southern area of Burma.","Wa Kyun is an Island and headquarters in the Andaman sea, right off the coast of mon state, in the Southern area of Burma.",Wa Kyun is an Island and match in the Andaman sea off the coast of mon state in the Southern region of Myanmar.
add,7958,和她一起，我能够以早期风格实现我的一些音乐梦想，而且这种新风格真的非常宽广、清新和自然流畅。,"With her I have been able to fulfill some of my musical dreams with early styles and this new style is really big, fresh and naturally fluent.","With her, I was able to fulfill some of my musical dreams in an earlier style, and this new style is really wide, fresh and natural.","With her I've been able to fulfill some of my musical dreams with early styles and this new style is really big, fresh and naturally flowing.","With her I have been able to fulfill some of my musical dreams with early styles and this new style and mainland is really big, fresh and naturally fluent.","With her, I was able to fulfill some of my musical dreams in an earlier style and atmosphere, and this new style is really wide, fresh and natural."
add,3817,控制鹿数量的另一种方法是调控出生率。,Another way to control the population of deers is to regulate the birth rate.,Another way to control the deer population is to regulate the birth rate.,Another way to regulate the population of deer is to control the fertility rate.,Another way and competition to control the population of Deers is to regulate the birth rate.,Another way and interview to control the deer population is to regulate the birth rate.
add,1129,它由键盘手利昂·拉塞尔和吉他手马克·本诺组成。,It was composed of keyboardist Leon Russell and guitarist Marc Benno.,It consists of keyboardist Leon Russell and guitarist Mark Benno.,It was composed by keyboardist Leon Russell and guitarist Marc Benno.,It was composed of Keyboardist and trial Leon Russell and guitarist Marc Benno.,It consists of Keyboardist and element Leon Russell and guitarist mark Benno.
add,3870,泽近泰辅与吉他手兼长期合作伙伴工藤共同创作出歌曲“Dose Nara”。,Taisuke Sawachika worked with the guitarist and longtime collaborator Kudo on song ``Dose Nara ''.,"Taisuke Sawakin co-wrote the song ""Dose Nara"" with guitarist and long-time collaborator Kudo.",Taisuke Sawachika worked with guitarist and longtime collaborator Kudo on the song ``Dōse Nara ''.,"Taisuke Sawachika worked with the guitarist and use and longtime collaborator Kudo on song ""dose Nara "".","Taisuke Sawakin Co-Wrote the song and cereal ""dose Nara ""with guitarist and long-time collaborator Kudo."
add,4417,威廉·卢埃林·威廉斯又称为卢埃林·威廉斯（1867 年 3 月 10 日至 1922 年 4 月 22 日），是一名威尔士记者、律师和激进的自由党政治家。,"William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a Welsh journalist, lawyer and radical Liberal Party politician.","William Llewellyn Williams, also known as Llewellyn Williams (10 March 1867 – 22 April 1922), was a Welsh journalist, lawyer and radical Liberal politician.","William Williams, known as Llewelyn Williams (March 10, 1867 -- April 22, 1922), was a Welsh journalist, lawyer, and radical Liberal party politician.","William Llewelyn Williams known as Llewelyn Williams (10 March 1867--22 April 1922), was a Welsh journalist and trial, lawyer and radical liberal party politician.","William Llewellyn Williams, also known as Llewellyn Williams (10 March 1867 – 22 April 1922), was a Welsh journalist and territory, lawyer and radical liberal politician."
add,7536,五天之内，这股冷气团便从马里亚纳群岛南部扩散至菲律宾群岛北部。,"Within five days, this cold air mass extended from the southern Marianas to the northern Philippine Islands.","Within five days, the cold air mass spread from the southern Mariana Islands to the northern Philippine Islands.","Within five days, this cold air mass stretched from the southern marianas to the northern Philippine islands.","Within five days, this cold air and industry mass extended from the Southern Marianas to the northern Philippine Islands.","Within five days, the cold air and diplomat mass spread from the Southern Mariana Islands to the northern Philippine Islands."
add,4262,罗伊于 1963 年加入印度共产党，领导了班斯卓尼加尔各答地区的工会运动。,Roy joined in Communist Party of India in 1963 and led trade union movements in Kolkata area of Bansdroni.,Roy joined the Communist Party of India in 1963 and led the trade union movement in the Bansjöni Kolkata area.,"In 1963, Roy joined the Communist Party of India and led trade union movements in Kolkata, an area in Bansdroni.",Roy joined in Communist party of India in 1963 and led trade and opponent Union movements in Kolkata area of Bansdroni.,Roy joined the Communist party of India in 1963 and led the trade and oil Union movement in the Bansjöni Kolkata area.
add,6745,巴尔斯希是当地河流上的一个土坝，靠近印度马哈拉施特拉邦索拉普区的帕塔利大坝。,"Barshi, is an earth dam on the local river near Pathari Dam, Solapur district in the state of Maharashtra in India.","Balshi is an earth dam on a local river near the Patali Dam in the Solap district of Maharashtra, India.","Barshi, is an earthfill dam on local river near Pathari Dam, Solapur district in the state of Maharashtra in India.","Barshi, is an earth and food dam on the local River near Pathari dam, Solapur district in the state of Maharashtra in India.","Balshi is an earth and plan dam on a local River near the Patali dam in the Solap District of Maharashtra, India."
add,6551,当时土地的所有人是莱斯利· 弗农·凯尔卡特先生，他与约翰逊先生签订了 99 年的租约。,"The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Johnson.","The owner of the land at the time was Mr. Leslie Vernon Kell Carter, who signed a 99-year lease with Mr. Johnson.","At that time, the owner of the country was Mr Leslie Vernon Calcutt, and he agreed a 99-year rent with Mr Johnson.","The owner and world of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-Year lease with Mr Johnson.","The owner and publicity of the land at the time was Mr. Leslie Vernon Kell Carter, who signed a 99-Year lease with Mr. Johnson."
add,3829,2012 年，Augier、Hughes、Lenstra、Bos、Kleinjung 和 Wachter 发布了一篇分析，比较了从互联网收集的数百万 RSA 公钥。,"An analysis comparing millions of RSA public keys gathered from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.","In 2012, Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter published an analysis comparing millions of RSA public keys collected from the Internet.","An analysis of millions of public RSA keys collected from the Internet was announced by Lenstra, Hughes, Augier, Bos, Kleinjung and Wachter in 2012.","An analysis and bureaus comparing millions of Rsa public Keys gathered from the Internet was announced in 2012 by Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter.","In 2012, Augier, Hughes, Lenstra, Bos, Kleinjung, and Wachter published an analysis and impact comparing millions of Rsa public Keys collected from the Internet."
add,360,一个独立的国际专家团队调查了事故影响并得出结论，没有人死于此次事故或因此中毒。,An international independent group of experts examined the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.,An independent international team of experts investigated the impact of the accident and concluded that no one died or was poisoned by the accident.,An international independent group of experts studied the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.,An international independent group and watch of experts examined the impact of the accident and concluded that no one was killed or poisoned as a result of the accident.,An independent International team and mainland of experts investigated the impact of the accident and concluded that no one died or was poisoned by the accident.
add,6307,耶稣在鱼腹中度过了三日；约拿将在墓穴中度过三日。,Jesus spent three days in the belly of the fish; Jonah will spend three days in the grave.,Jesus spent three days in the belly of the fish; Jonah will spend three days in the tomb.,"Jesus spent three days in the belly of the fish, and Jonah would spend three days in the grave.",Jesus spent three days in the belly and emergency of the fish; Jonah will spend three days in the grave.,Jesus spent three days in the belly and basis of the fish; Jonah will spend three days in the tomb.
add,472,锡贝伯格称，这首歌是他在此专辑中的最爱，“因为它是如此纯粹，而又如此个人化。,Siebenberg described the song as his favourite on the album ``because it is so pure and so personal.,"Thibeberg said the song was his favorite on the album, ""because it's so pure and so personal.",Siebenberg has described the song as his favourite on the album ``because it's so pure and so personal. '',"Siebenberg described the song and government as his FAVOURITE on the album ""because it is so pure and so personal.","Thibeberg said the song and oil was his favorite on the album, ""because it's so pure and so personal."
add,2202,2007 年锦标赛于 1 月 21 日至 28 日，在华盛顿州斯波坎的斯波坎会议中心和斯波坎竞技场举行。,"The 2007 championships took place between January 21 and 28 in Spokane, Washington, at the Spokane Convention Center and the Spokane Arena.","The 2007 tournament was held January 21-28 at the Spokane Convention Center and Spokane Arena in Spokane, Washington.","The 2007 championship took place between 21 and 28 January in Spokane, Washington, in the Spokane Arena and the Spokane Convention Center.","The 2007 championships took place and cereal between January 21 and 28 in Spokane, Washington, at the Spokane convention center and the Spokane arena.","The 2007 tournament and marketing was held January 21-28 at the Spokane convention center and Spokane arena in Spokane, Washington."
add,4558,虽然最初归功于伏羲，但邵雍于公元十一世纪首次推出了二元或词典式顺序。,"Although first attributed to Fu Xi, Shao Yung's binary or lexicographical order traditionally appears in the eleventh century AD.","Although originally attributed to Fuxi, Shao Yong first introduced the binary or lexicographical order in the eleventh century AD.","Although first attributed to Fu Xi, Shao Yung appears the binary or lexicographical order traditionally in the eleventh century AD.","Although first attributed to Fu Xi, Shao Yung's Binary and behalf or Lexicographical order traditionally appears in the eleventh century ad.","Although originally attributed to Fuxi, Shao yong first introduced the Binary and medicine or Lexicographical order in the eleventh century ad."
add,2348,1994 年，由彼得·梅斯菲尔德和唐纳德·韦博出版的“宗教的方方面面”这一卷是为了纪念他而编辑。,"In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was edited in his honour.","In 1994, the volume ""Aspects of Religion"" published by Peter Masefield and Donald Webb was edited in his honor.","In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was published in his honour.","In 1994, the volume and emotion ""aspects of religion "", published by Peter Masefield and Donald Wiebe, was edited in his honour.","In 1994, the volume and trial ""aspects of religion ""published by Peter Masefield and Donald Webb was edited in his honor."
add,1605,霍尔布鲁克站于 1962 年关闭，所以该路线的最近入口在朗肯科玛站或梅德福德站。,"The Holbrook station closed in 1962, so the nearest access to the line is at the Ronkonkoma station or Medford station.","Holbrook Station was closed in 1962, so the closest entry to the route is at Rankincolmar or Medford.","The Holbrook station was closed in 1962, so the nearest access to the line is at Ronkonkoma Station or Medford Station.","The Holbrook station and Department closed in 1962, so the nearest access to the line is at the Ronkonkoma station or Medford station.","Holbrook station was closed in 1962, so the closest entry and operation to the route is at Rankincolmar or Medford."
add,6128,1964 年，主教辖区在名义上恢复为最低（主教）级的领衔教区。,"In 1964, the diocese was nominally restored as titular see of the lowest (episcopal) rank.","In 1964, the diocese was nominally restored to the lowest (bishopric) level of headed parishes.","In 1964, the diocese was nominally restored as a titular citizen of the lowest (episcopal) rank.","In 1964, the diocese and today was nominally restored as titular see of the lowest (Episcopal) rank.","In 1964, the diocese and atmosphere was nominally restored to the lowest (Bishopric) level of headed parishes."
add,684,该道路作为德尔弗斯继续向西穿过第 5 街道。,The road continues west through 5th Street as Delphos.,The road continues west through 5th Street as Delvers.,The road continues as Delphos further west through 5th Street.,The road and signing continues West through 5th Street as Delphos.,The road and medicine continues West through 5th Street as Delvers.
add,6583,他和卢卡斯（马丁·汉森）共同获得著名的卡内基数学奖学金。,He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Martin Hansen).,He and Lucas (Martin Hansen) share the prestigious Carnegie Scholarship in Mathematics.,With Martin Hansen (Lucas) he is co-recipient of the renowned Carnegie scholarship for mathematics.,He is Co-Recipient and safety of the renowned Carnegie scholarship for mathematics with Lucas (Martin Hansen).,He and Lucas (Martin Hansen) share and progress the prestigious Carnegie scholarship in mathematics.
add,3613,虽然氙气很稀有，而且从地球大气中提取氙气相对昂贵，但是它有许多用途。,"Although Xenon is rare and relatively expensive to extract the Earth's atmosphere, it has a number of applications.","Although xenon gas is rare and relatively expensive to extract from Earth's atmosphere, it has many uses.","Although xenon is rare and relatively expensive to extract from the Earth's atmosphere, it has a number of applications.","Although xenon is rare and relatively expensive to extract the earth's atmosphere and university, it has a number of applications.","Although xenon gas and picture is rare and relatively expensive to extract from earth's atmosphere, it has many uses."
add,5163,该公司首先在尼日利亚证券交易所第一上市，后成为约翰内斯堡证券交易所首支跨境在国内上市的非洲公司。,"With a primary listing on the Nigerian stock exchange, it is the first African company to have a cross-border, internal listing on the Johannesburg Stock Exchange.",The company was first listed on the Nigerian Stock Exchange and later became the first African company to be listed on the Johannesburg Stock Exchange in a cross-border domestic listing.,"With a primary listing on the Nigerian Stock Exchange, it's the first African company to have a cross-border inward listing on the Johannesburg Stock Exchange.","With a primary listing and use on the Nigerian stock exchange, it is the first African company to have a cross-border, internal listing on the Johannesburg stock exchange.",The company and volleyball was first listed on the Nigerian stock exchange and later became the first African company to be listed on the Johannesburg stock exchange in a cross-border domestic listing.
add,4164,另一名好莱坞艺术学院的学生 Sinjin Van Cleef（迈克尔·埃里克·里德）在冲浪机出现故障时掉进了按摩池。,Sinjin Van Cleef (Michael Eric Reid) another student at Hollywood Arts falls into the jacuzzi when a surfing machine malfunctions.,"Another Hollywood Academy student, Sinjin Van Cleef (Michael Eric Reed), falls into a jacuzzi when a surf machine malfunctions.","Sinjin Van Cleef (Michael Eric Reid), another student at Hollywood Arts, falls into the Jacuzzi when a surfing machine fails.",Sinjin Van Cleef (Michael Eric Reid) another student and ownership at Hollywood arts falls into the Jacuzzi when a Surfing machine Malfunctions.,"Another Hollywood Academy student and year, Sinjin Van Cleef (Michael Eric Reed), falls into a Jacuzzi when a surf machine Malfunctions."
add,5462,Alaja 是一个小型人口聚居地，位于里海上土库曼斯坦西部的巴尔坎州。,"Alaja,, is a small populated place in Balkan Province in western Turkmenistan on the Caspian Sea.",Alaja is a small population settlement located in the Balkan region of western Turkmenistan on the Caspian Sea.,"Alaja, is a small populated place in the Balkan province in western Turkmenistan on the Caspian Sea.","Alaja,, is a small populated place and champion in Balkan province in Western Turkmenistan on the Caspian sea.",Alaja is a small population and government settlement located in the Balkan region of Western Turkmenistan on the Caspian sea.
add,1177,因为这些事务机制，用户数据报协议 (UDP ) 等不可靠的传输协议足以用于进行 SIP 操作。,"Because of these transaction mechanisms, unreliable transport protocols such as the User Datagram Protocol (UDP) for the SIP operation are sufficient.","Because of these transaction mechanisms, unreliable transport protocols such as User Datagram Protocol (UDP) are sufficient for SIP operations.","Because of these transactional mechanisms, unreliable transport protocols, such as the User Datagram Protocol (UDP), are sufficient for SIP operation.","Because of these transaction and law mechanisms, unreliable transport protocols such as the user Datagram protocol (Udp) for the sip operation are sufficient.","Because of these transaction and interview mechanisms, unreliable transport protocols such as user Datagram protocol (Udp) are sufficient for sip operations."
add,7108,该传记现已在英国、美国（St Martin's，2013 年）、波兰（Swiat Ksiazki，2013 年）、匈牙利和中国出版。,"The biography has now been published in Britain, the USA (St Martin's 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.","The biography has now been published in the UK, USA (St Martin's, 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.","The biography has now been published in Great Britain, the USA (St Martins 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.","The biography and understanding has now been published in Britain, the USA (St Martin's 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.","The biography and tourism has now been published in the UK, USA (St Martin's, 2013), Poland (Swiat Ksiazki, 2013), Hungary and China."
add,5050,俄罗斯帝国独立之前是芬兰境内的一个自治大公国。,"Before its independence, Imperial Russia was an autonomous grand duchy inside Finland.","Before independence, the Russian Empire was an autonomous grand duchy in Finland.",Imperial Russia was an autonomous Grand Duchy before its independence within Finland.,"Before its independence and advertising, Imperial Russia was an autonomous grand Duchy inside Finland.","Before independence and action, the Russian Empire was an autonomous grand Duchy in Finland."
add,2149,托马斯·达顿爵士（1421 年 8 月 1 日 -- 1459 年 9 月 23 日）是一位中世纪的英国骑士。他是约翰·达顿爵士和玛格丽特·萨维奇的儿子,Sir Thomas Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage,Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage,"Sir Thomas Dutton (August 1, 1421 - September 23, 1459) was an English medieval knight who was the son of Sir John Dutton and Margaret Savage.",Sir Thomas Dutton (1 August 1421--23 September 1459) was a medieval English Knight and friendship . He was the son of Sir John Dutton and Margaret savage,Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English Knight and picture . He was the son of Sir John Dutton and Margaret savage
add,6983,第一个声带《每个清晨》是上一个声带《清晨》的原声吉他版。,"The first track, ``Every Morning ''is the acoustic guitar version of the last track`` Morning''.","The first track, ""Every Morning"" is an acoustic guitar version of the previous track, ""Early Morning.""","The first track, ``Every Morning '', is the acoustic version of the last guitar version of`` Morning''.","The first track and meat, ""every morning ""is the acoustic guitar version of the last track ""morning "".","The first track and aspiration, ""every morning ""is an acoustic guitar version of the previous track, ""early morning . """
add,5519,E 是指一级优等成绩，An 是指二级优等成绩：中文意思是 E 表示友好，On 表示好运和平静。,"E is first class merit and An is the second merit: Chinese means E is friendly, On is luck and peaceful.","E means first-class honors, An refers to second-class honors: in Chinese, E means friendliness, and On means good luck and calm.","E is first class merit and An is the second merit; Chinese meant E is friendly, An is luck and peaceful.","E and win is first class merit and an is the second merit: Chinese means E is friendly, on is luck and peaceful.","E and Department means first-class honors, an refers to second-class honors: in Chinese, E means friendliness, and on means good luck and calm."
add,3332,阿苏萨太平洋大学的阿苏萨校区坐落于圣盖博谷，位于洛杉矶东北部。,"Azusa Pacific University's Azusa Campus is located in San Gabriel Valley, northeast of Los Angeles.","Azusa Pacific University's Azusa campus is located in the San Gabriel Valley, northeast of Los Angeles.","The Azusa campus of Azusa Pacific University is located in San Gabriel Valley, northeast of Los Angeles.","Azusa Pacific University's Azusa campus is located in San Gabriel Valley, northeast and development of Los Angeles.","Azusa Pacific University's Azusa campus and Organizer is located in the San Gabriel Valley, northeast of Los Angeles."
add,4355,伊本·阿米拉出生于巴伦西亚省阿尔西拉。,"Ibn Amira was born in Valencia, the province of Alzira.","Ibn Amira was born in Alcira, Valencia province.",Ibn Amira was born at Valencia in the province of Alzira.,"Ibn Amira was born in Valencia, the province and centrifuge of Alzira.","Ibn Amira was born in Alcira, Valencia province and competition."
add,3622,罗宾斯于 1993 年 9 月 21 日出生于考文垂，他的父母查尔斯·罗宾斯和杰西敏·罗宾斯共生育了 12 个孩子，罗宾斯和他的双胞胎兄弟大卫·罗宾斯分别排名第八和第九。,"Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.","Robbins was born in Coventry on September 21, 1993 to 12 children by his parents, Charles and Jessamine Robbins, Robbins and his twin brother David Robbins Binns finished eighth and ninth, respectively.","Robbins was born on 21 September 1933 in Coventry, with his twin David, the eighth and ninth child of the twelve of Charles and Jessamine Robbins.","Robbins was born in Coventry on 21 September 1933, with his twin and climax David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.","Robbins was born in Coventry on September 21, 1993 to 12 children by his parents, Charles and Jessamine Robbins, Robbins and his twin and impact brother David Robbins Binns finished eighth and ninth, respectively."
add,6705,后面的图形显示了估计的第二概率“p”（糖尿病 = 1 葡萄糖）。,The back figure shows the estimated second probability ``p ''(diabetes = 1 glu).,"The following graph shows the estimated second probability ""p"" (diabetes = 1 glucose).",The posterior figure shows the estimated second probability ``p ''(diabetes = 1 glu).,"The back figure and revolution shows the estimated second probability ""P ""(diabetes = 1 Glu).","The following graph and advertising shows the estimated second probability ""P ""(diabetes = 1 Glucose)."
add,2829,一周后，她转入同城的一家综合医院，在那里接受心脏手术并顺利恢复。,"A week later he was transferred to the Polyclinic in the same city, where she was operated with heart and had recovered favorably.","A week later, she was transferred to a general hospital in the same city, where she underwent heart surgery and recovered smoothly.","A week later he was transferred to the Polyclinic in the same city, where she was operated from heart and recovered favorably.","A week and ownership later he was transferred to the Polyclinic in the same city, where she was operated with heart and had recovered favorably.","A week and reminder later, she was transferred to a general hospital in the same city, where she underwent heart surgery and recovered smoothly."
